Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Zzz3_p2	12	-0.0015636	-0.049588	0.96491	0.99405	0.96045	0.99287
Zfp65_p2	12	0.0099368	0.26684	0.7682	0.99011	0.78959	0.98241
Stat6_p3	12	0.015858	0.5229	0.63947	0.96743	0.60104	0.95021
Ybx1_p2	12	-0.02249	-0.5449	0.52193	0.95792	0.58582	0.95021
Nr2f6_p1	12	0.045609	1.2253	0.20482	0.84144	0.22046	0.83663
Mier1_p2	12	0.013507	0.48476	0.68596	0.97327	0.62785	0.95021
4930522L14Rik_p1	12	-0.020752	-0.60664	0.55154	0.95941	0.54409	0.95021
Mef2b_p1	12	-0.01745	-0.51287	0.62259	0.9596	0.60804	0.95021
Setdb2_p1	12	-0.028244	-0.476	0.42763	0.9316	0.63408	0.95282
Lin28b_p2	12	0.011653	0.51709	0.72961	0.98907	0.60509	0.95021
Usf2_p3	12	0.014685	0.39434	0.66096	0.97327	0.69333	0.96502
Pms1_p1	12	-0.0046547	-0.11018	0.89759	0.99405	0.91226	0.99287
E2f8_p1	12	-0.095564	-2.8068	0.010088	0.51111	0.0050035	0.55599
Tfap2c_p2	12	-0.00061617	-0.020792	0.98904	0.99405	0.98341	0.99451
Zfp367_p2	12	-0.053372	-1.7846	0.13443	0.73214	0.074322	0.79235
Mllt10_p2	12	0.016377	0.4996	0.62939	0.96147	0.61736	0.95021
Spen_p1	12	0.0082829	0.30817	0.80592	0.99011	0.75796	0.9762
Pou5f1_p1	12	-0.065791	-1.4544	0.066886	0.72883	0.14585	0.82773
Zbtb21_p1	12	-0.0039578	-0.14223	0.91206	0.99405	0.8869	0.99126
Plagl1_p1	12	0.021202	0.56232	0.53882	0.95869	0.5739	0.95021
Nfx1_p1	12	0.035459	0.92318	0.31184	0.90448	0.35592	0.89277
Hmgb1_p5	12	-0.056812	-1.7219	0.11162	0.72883	0.085096	0.79235
Gm20422_p1	12	0.017171	0.57088	0.61491	0.9596	0.56808	0.95021
Zfx_p2	12	-0.070242	-1.6054	0.049781	0.725	0.10842	0.79235
Creb3_p2	12	-0.019658	-0.56858	0.57412	0.95941	0.56964	0.95021
Zfp87_p1	12	-0.031029	-0.9153	0.38465	0.90448	0.36003	0.89277
Zic5_p1	12	0.051036	1.2421	0.15548	0.77912	0.21419	0.83663
Spic_p1	12	0.0099554	0.226	0.76776	0.99011	0.8212	0.98612
Rarg_p2	12	-0.010179	-0.44341	0.77763	0.99011	0.65747	0.96021
Zfp296_p1	12	-0.012452	-0.39131	0.72719	0.98907	0.69557	0.96502
Zfp26_p1	12	-0.016992	-0.69515	0.63268	0.96206	0.48696	0.94756
Nfxl1_p1	12	-0.048663	-1.7034	0.17412	0.794	0.088492	0.79235
Zfp110_p1	12	-0.026278	-0.84538	0.45855	0.93557	0.3979	0.91095
Srebf1_p1	12	0.02209	0.56347	0.51996	0.95792	0.57312	0.95021
Cpeb1_p4	12	0.0019525	0.062358	0.95702	0.99405	0.95028	0.99287
Cpeb1_p1	12	0.02018	0.65212	0.55636	0.95941	0.51432	0.95021
Zik1_p1	12	-0.01193	-0.43	0.73925	0.99011	0.6672	0.96279
Elf1_p2	12	0.049613	1.1215	0.16447	0.78229	0.26209	0.83663
Repin1_p1	12	0.010848	0.42139	0.74934	0.99011	0.67347	0.96502
Msl1_p1	12	0.0053467	0.08857	0.87325	0.99405	0.92942	0.99287
Mitf_p4	12	-0.052303	-1.1683	0.14211	0.76235	0.24268	0.83663
Hmgb3_p3	12	-0.06737	-1.88	0.060746	0.72883	0.060105	0.79235
Rbpj_p4	12	0.01102	0.22782	0.74518	0.99011	0.81979	0.98612
Lin28b_p3	12	0.0061551	0.16867	0.85548	0.99405	0.86606	0.98888
Xert_p1	12	0.055338	1.2573	0.12237	0.72883	0.20866	0.83587
Aire_p2	12	0.003465	0.14228	0.91908	0.99405	0.88686	0.99126
Zfp13_p1	12	0.010936	0.32287	0.74715	0.99011	0.7468	0.97454
Jarid2_p1	12	-0.066154	-1.9513	0.066667	0.72883	0.051027	0.76958
Zfp975_p1	12	-0.037929	-1.2972	0.29254	0.90448	0.19457	0.83494
Zfp644_p1	12	0.020153	0.52074	0.55724	0.95941	0.60255	0.95021
Klf10_p3	12	-0.035695	-0.937	0.31974	0.90448	0.34876	0.89277
Gbx2_p2	12	-0.0015443	-0.040738	0.96513	0.99405	0.9675	0.99451
Tgif1_p1	12	0.0060453	0.18048	0.85855	0.99405	0.85677	0.98845
Mier3_p4	12	0.054881	1.2757	0.12632	0.72883	0.20205	0.83587
Wdhd1_p2	12	0.025541	0.7996	0.45724	0.93557	0.42394	0.9153
Tgif2_p1	12	0.04826	1.2642	0.17741	0.79805	0.20614	0.83587
Ybx1_p1	12	-0.049921	-1.8107	0.16338	0.78229	0.07019	0.79235
Zfp212_p1	12	-0.018755	-0.62525	0.59364	0.9596	0.53181	0.95021
Nfkb2_p1	12	0.088792	2.7991	0.014254	0.58261	0.005124	0.55599
Zfp566_p1	12	-0.021187	-0.56789	0.54211	0.95869	0.57011	0.95021
Smarcc1_p1	12	0.024086	0.68031	0.48289	0.95119	0.49631	0.94756
Arid4b_p1	12	-0.015396	-0.4929	0.66469	0.97327	0.62208	0.95021
Klf8_p2	12	0.031152	0.41587	0.36908	0.90448	0.6775	0.96502
Zfp532_p3	12	0.032448	0.83565	0.35132	0.90448	0.40335	0.91095
Zscan10_p1	12	0.0025668	0.061192	0.94145	0.99405	0.95121	0.99287
Gtf2ird1_p1	12	0.031508	0.79686	0.36469	0.90448	0.42553	0.9153
Aff1_p2	12	0.038878	1.1643	0.27105	0.90448	0.24432	0.83663
Gm49359_p1	8	0.03104	0.87245	0.47281	0.94354	0.38296	0.90308
Esx1_p2	12	0.032771	0.96933	0.34649	0.90448	0.33238	0.88635
Zfp52_p1	12	0.0034717	0.13517	0.91864	0.99405	0.89248	0.99128
Rhox9_p1	12	-0.017344	-0.40458	0.62478	0.9596	0.68578	0.96502
Cc2d1a_p1	12	-0.023319	-0.67979	0.50724	0.95776	0.49664	0.94756
Bhlhe40_p1	12	-0.022422	-1.0077	0.52303	0.95792	0.31359	0.87728
Bcorl1_p3	12	-0.033162	-0.83533	0.35285	0.90448	0.40353	0.91095
Sall2_p2	12	-0.016453	-0.4052	0.64408	0.96743	0.68533	0.96502
Foxn3_p1	12	-0.0054109	-0.18059	0.88202	0.99405	0.85669	0.98845
Tsc22d1_p3	12	0.0026109	0.10443	0.94101	0.99405	0.91683	0.99287
Sp3_p2	12	-0.079375	-2.0888	0.03114	0.61224	0.036728	0.66642
Chd8_p1	12	0.028735	0.97123	0.40263	0.90891	0.33143	0.88635
Tfeb_p1	12	0.0092003	0.34637	0.78421	0.99011	0.72906	0.97067
Kat8_p1	12	-0.019885	-0.49684	0.56886	0.95941	0.6193	0.95021
Jpx_p1	12	-0.034064	-0.82929	0.33947	0.90448	0.40694	0.91411
Foxn3_p3	12	0.075809	1.4956	0.032456	0.61224	0.13475	0.82536
Arid4b_p3	12	0.034751	1.0967	0.32237	0.90448	0.27278	0.83663
Kansl3_p1	12	-0.070853	-1.8011	0.047588	0.725	0.071694	0.79235
Zfp592_p1	12	-0.010063	-0.47374	0.78026	0.99011	0.63569	0.95288
Ncor1_p1	12	-0.0010982	-0.045521	0.97741	0.99405	0.96369	0.99309
Pias2_p2	12	-0.041495	-1.3614	0.24781	0.90448	0.17338	0.83494
Zfp948_p1	12	-0.015565	-0.59975	0.66118	0.97327	0.54868	0.95021
Zfp12_p1	12	0.0065249	0.24521	0.84693	0.99405	0.80629	0.98307
Zfp64_p1	12	-0.07244	-2.3207	0.043421	0.7193	0.020305	0.55599
Zkscan5_p3	12	-0.070022	-2.3764	0.05	0.725	0.017481	0.55599
Ubtf_p4	12	0.039258	0.80331	0.26776	0.90448	0.4218	0.91455
Tcf12_p3	12	-0.054048	-1.5998	0.12982	0.72883	0.10964	0.79235
Nfatc4_p2	12	-0.01961	-0.55712	0.57522	0.95941	0.57744	0.95021
Zfp213_p1	12	-0.01096	-0.34362	0.76272	0.99011	0.73113	0.972
Zfp710_p1	12	0.011621	0.19416	0.73048	0.98907	0.84605	0.98637
Zfp623_p1	12	-0.0085011	-0.28546	0.81382	0.99092	0.77529	0.98007
Tfap2c_p1	12	0.065654	0.70152	0.070614	0.72883	0.48298	0.94756
Foxd3_p1	12	-0.020029	-0.55804	0.56754	0.95941	0.57682	0.95021
Etv4_p1	12	-0.031062	-1.0315	0.38465	0.90448	0.30231	0.86428
Zfp148_p2	12	0.06967	1.4846	0.052632	0.72537	0.13765	0.82536
Nr4a1_p1	12	-0.0059063	-0.23687	0.87083	0.99405	0.81276	0.98612
Tfb1m_p1	12	-0.0055387	-0.17732	0.87851	0.99405	0.85926	0.98845
Kansl1_p3	12	-0.090583	-1.6146	0.014693	0.58261	0.1064	0.79235
Zscan21_p1	12	0.046313	1.3003	0.19803	0.82273	0.19349	0.83494
Zfp473_p2	12	0.027575	0.7561	0.41952	0.92193	0.44959	0.93825
Gpbp1_p1	12	-0.030209	-1.4654	0.39627	0.90448	0.1428	0.82773
Zkscan5_p1	12	-0.018247	-0.47646	0.60395	0.9596	0.63374	0.95282
Zfp866_p1	12	0.045138	1.2184	0.20811	0.84732	0.22306	0.83663
Hmga2_p1	12	0.047735	1.4777	0.18224	0.80472	0.13948	0.82536
Zfp322a_p2	12	-0.0016838	-0.024234	0.96272	0.99405	0.98067	0.99451
Pias3_p2	12	-0.0095992	-0.33379	0.79101	0.99011	0.73853	0.97454
Dnajc2_p1	12	0.037291	1.1359	0.29079	0.90448	0.25598	0.83663
Msl2_p2	12	-0.01399	-0.44759	0.69474	0.97327	0.65445	0.96021
Tet2_p1	12	-0.030896	-0.97796	0.38684	0.90448	0.32809	0.88635
Sp5_p1	12	0.081854	1.8918	0.02193	0.59474	0.058518	0.79235
Foxo3_p1	12	0.0096421	0.36538	0.77434	0.99011	0.71483	0.96502
Tax1bp1_p1	12	-0.0071263	-0.2124	0.84254	0.99405	0.8318	0.98612
Zfp868_p1	12	0.019217	0.56228	0.57544	0.95941	0.57392	0.95021
Foxp1_p3	12	-0.030707	-0.70701	0.38947	0.90448	0.47956	0.94756
Pias3_p1	12	0.040474	1.5241	0.25526	0.90448	0.12749	0.82536
Foxn3_p4	12	0.049594	1.2052	0.16469	0.78229	0.22814	0.83663
Smad5_p2	12	-0.018494	-0.62951	0.6	0.9596	0.52902	0.95021
Nr3c1_p4	12	0.017075	0.6221	0.61689	0.9596	0.53387	0.95021
Zfp516_p1	12	0.037485	1.1987	0.28882	0.90448	0.23065	0.83663
Esrrb_p2	12	0.032188	1.2792	0.35373	0.90448	0.20084	0.83587
Tada2b_p1	12	-0.015104	-0.48212	0.67061	0.97327	0.62972	0.95084
Hesx1_p1	12	-0.057274	-1.3263	0.10855	0.72883	0.18474	0.83494
Zfp758_p1	12	0.018843	0.45191	0.58158	0.9596	0.65134	0.95964
Mycn_p1	12	0.0249	0.90009	0.46996	0.94167	0.36807	0.89277
Zfp568_p2	12	0.018389	0.44636	0.59145	0.9596	0.65534	0.96021
Ssrp1_p1	12	-0.030427	-0.85695	0.39298	0.90448	0.39147	0.90935
Zfp646_p1	12	0.060662	1.9336	0.09364	0.72883	0.053162	0.76958
Son_p1	12	-0.035837	-0.90137	0.31776	0.90448	0.36739	0.89277
Bbx_p1	12	0.051981	1.3897	0.14737	0.768	0.16461	0.83494
Tgif1_p3	12	0.065338	1.7386	0.071272	0.72883	0.082111	0.79235
Sohlh2_p1	12	-0.027938	-0.97647	0.43311	0.9316	0.32883	0.88635
Mta2_p2	12	-0.010134	-0.34841	0.77917	0.99011	0.72753	0.97004
Thyn1_p2	12	0.0028173	0.078855	0.93531	0.99405	0.93715	0.99287
Zbtb7b_p2	12	-0.036373	-0.86498	0.3114	0.90448	0.38705	0.90382
Zgpat_p2	12	0.0021978	0.064008	0.95044	0.99405	0.94896	0.99287
Zscan26_p1	12	-0.056889	-1.4878	0.11096	0.72883	0.13681	0.82536
Tfam_p3	12	0.023889	0.48769	0.4864	0.95603	0.62577	0.95021
Gabpb1_p2	12	-0.0015595	-0.05499	0.96491	0.99405	0.95615	0.99287
Tbx3_p1	12	0.01117	0.29753	0.74013	0.99011	0.76606	0.9764
Sp1_p2	12	-0.0031891	-0.10222	0.93004	0.99405	0.91858	0.99287
Zgpat_p1	12	0.0099852	0.29127	0.76689	0.99011	0.77084	0.9764
Mbd4_p1	12	0.043261	1.0973	0.22675	0.88	0.27252	0.83663
Nr1h2_p1	12	0.062188	1.7702	0.086184	0.72883	0.076696	0.79235
Aebp2_p3	12	0.034912	1.0946	0.31996	0.90448	0.27371	0.83663
Tax1bp1_p2	12	-0.014454	-0.36094	0.68465	0.97327	0.71815	0.96502
Zfp516_p3	12	-0.03788	-1.1013	0.29342	0.90448	0.27077	0.83663
Gm2381_p1	8	-0.02953	-0.68104	0.51316	0.95792	0.49584	0.94756
Gata1_p2	12	-0.023808	-1.0436	0.49978	0.95756	0.29669	0.85356
Zfp511_p1	12	0.062753	1.589	0.082675	0.72883	0.11207	0.7985
Zfp207_p1	12	-0.064768	-1.3898	0.071491	0.72883	0.16458	0.83494
Zfp217_p2	12	0.03273	0.92389	0.34693	0.90448	0.35554	0.89277
Arid4a_p1	12	-0.0014651	-0.06324	0.96798	0.99405	0.94958	0.99287
Zfp869_p1	12	-0.021957	-0.56342	0.53048	0.95869	0.57315	0.95021
Nfe2l1_p2	12	0.085644	2.6281	0.016667	0.59474	0.0085872	0.55599
Tcf7_p1	12	0.02899	0.6746	0.39868	0.90448	0.49993	0.94949
Zfp953_p1	12	-0.0048972	-0.20073	0.89232	0.99405	0.84091	0.98637
Hes1_p1	12	-0.010363	-0.35908	0.77478	0.99011	0.71953	0.96502
Terf2_p1	12	-0.032457	-0.90738	0.36382	0.90448	0.3642	0.89277
Rfx2_p1	12	0.061793	1.4047	0.087939	0.72883	0.16011	0.83494
Mysm1_p1	12	-0.025168	-0.98046	0.47588	0.94403	0.32686	0.88635
Zfp141_p1	12	-0.055228	-1.3739	0.12303	0.72883	0.16947	0.83494
Mllt10_p1	12	0.066017	1.3728	0.067982	0.72883	0.16982	0.83494
Thap11_p1	12	-0.011222	-0.29487	0.7557	0.99011	0.7681	0.9764
Gm44973_p1	12	0.031587	0.90271	0.36294	0.90448	0.36668	0.89277
Zfp729a_p1	10	0.014387	0.45821	0.71316	0.98695	0.6468	0.95605
Zfp260_p1	12	0.01727	0.38434	0.61294	0.9596	0.70073	0.96502
Ftx_p3	12	-0.014563	-0.32921	0.68246	0.97327	0.74199	0.97454
Stat6_p1	12	0.012248	0.36257	0.71645	0.98793	0.71692	0.96502
Tfdp2_p2	12	0.027987	0.58623	0.4125	0.91873	0.55772	0.95021
Irf3_p2	12	0.018111	0.40913	0.59605	0.9596	0.68244	0.96502
Cic_p2	12	0.030563	0.69912	0.3761	0.90448	0.48448	0.94756
Jarid2_p2	12	0.014646	0.4136	0.66206	0.97327	0.67917	0.96502
Zscan12_p1	12	0.048453	1.2157	0.1761	0.79805	0.2241	0.83663
Cdc5l_p1	12	-0.015342	-0.40974	0.66645	0.97327	0.682	0.96502
Zfp51_p1	12	-0.03935	-0.94899	0.2739	0.90448	0.34263	0.89277
Dmrt1_p1	12	0.022829	0.68493	0.50614	0.95776	0.49339	0.94756
Zfp777_p2	12	0.023048	0.62419	0.50154	0.95776	0.53251	0.95021
Cebpz_p1	12	-0.0028728	-0.09973	0.93684	0.99405	0.92056	0.99287
Zfp110_p2	12	0.052515	1.4149	0.1443	0.76628	0.1571	0.83299
Znfx1_p1	12	0.0051916	0.16298	0.87719	0.99405	0.87053	0.98888
Atf6_p1	12	0.0068931	0.15532	0.83772	0.99405	0.87657	0.98888
Zfp62_p2	12	-0.0068941	-0.18151	0.84671	0.99405	0.85597	0.98845
Tgif1_p2	12	-0.027316	-0.92632	0.44189	0.93287	0.35428	0.89277
Zfp358_p1	12	-0.026133	-0.6526	0.46096	0.93719	0.51401	0.95021
2610044O15Rik8_p1	12	0.084198	2.2019	0.019518	0.59474	0.027672	0.60085
Zfp74_p1	12	0.058727	1.6001	0.10439	0.72883	0.10958	0.79235
Gm6871_p1	12	0.046207	1.1239	0.19846	0.82273	0.26105	0.83663
Zfp600_p1	5	0.095002	1.5715	0.094298	0.72883	0.11608	0.80117
Crxos_p2	12	0.00040514	0.010301	0.98816	0.99405	0.99178	0.99579
Tox4_p2	12	0.0060446	0.20897	0.85855	0.99405	0.83447	0.98637
Pknox1_p1	12	0.035962	0.90572	0.30658	0.90448	0.36509	0.89277
Zfp637_p1	12	-0.0033906	-0.086503	0.92237	0.99405	0.93107	0.99287
Foxp1_p6	12	0.054418	1.2343	0.12895	0.72883	0.21708	0.83663
Lin28b_p1	12	0.00048688	0.013212	0.98706	0.99405	0.98946	0.99579
Zfp808_p1	4	-0.0015577	-0.022692	0.98268	0.99405	0.9819	0.99451
Pbx2_p3	12	-0.0081561	-0.15863	0.82193	0.99233	0.87396	0.98888
Zbtb44_p2	12	0.0077329	0.17704	0.81864	0.99233	0.85948	0.98845
Peg3_p1	12	-0.0031557	-0.10993	0.93048	0.99405	0.91247	0.99287
Atf5_p1	12	-0.072839	-1.6104	0.042763	0.7193	0.10731	0.79235
Dnmt1_p1	12	0.060942	1.3273	0.091447	0.72883	0.18442	0.83494
Hif1a_p1	12	-0.056135	-1.0761	0.11754	0.72883	0.28188	0.84273
Zfp825_p1	8	-0.0049936	-0.083367	0.92807	0.99405	0.93356	0.99287
Baz2a_p1	12	0.012205	0.40688	0.71732	0.98793	0.68409	0.96502
Nr5a2_p1	12	0.0032265	0.069328	0.92719	0.99405	0.94473	0.99287
Eomes_p1	12	0.014461	0.45979	0.66579	0.97327	0.64567	0.95605
Elf3_p1	12	0.0079273	0.19536	0.81206	0.99011	0.84511	0.98637
Tox4_p1	12	-0.025767	-0.79037	0.46623	0.93863	0.42931	0.92125
Esrrb_p3	12	-0.1186	-2.4038	0.0010965	0.2	0.016227	0.55599
Gm38394_p1	12	0.0092603	0.32197	0.78268	0.99011	0.74747	0.97454
Nfe2l2_p1	12	0.013899	0.52311	0.67785	0.97327	0.6009	0.95021
Gm14401_p1	7	0.034671	0.59998	0.45658	0.93557	0.54852	0.95021
Aire_p1	12	-0.077871	-2.1748	0.032456	0.61224	0.029647	0.60085
Srebf2_p1	12	-0.044295	-1.5389	0.2182	0.869	0.12384	0.82536
Eed_p2	12	-0.02917	-1.1895	0.41162	0.91873	0.23424	0.83663
Nfyc_p1	12	0.035891	0.90446	0.30746	0.90448	0.36575	0.89277
Zbtb17_p1	12	0.005497	0.13643	0.87018	0.99405	0.89148	0.99128
Ubp1_p2	12	0.0071142	0.30948	0.83377	0.99405	0.75695	0.9762
Zfp866_p2	12	0.0096582	0.36424	0.7739	0.99011	0.71568	0.96502
Otx2_p1	12	0.061334	1.3982	0.089254	0.72883	0.16207	0.83494
Rbpj_p1	12	-0.016939	-0.4074	0.63399	0.96206	0.68371	0.96502
Nfatc3_p1	12	0.067135	2.921	0.0625	0.72883	0.0034894	0.55599
Zkscan5_p2	12	-0.037275	-1.0099	0.30154	0.90448	0.31255	0.87728
Zkscan17_p2	12	0.041476	1.1176	0.24671	0.90448	0.26374	0.83663
Gm14322_p1	4	-0.0067311	-0.13513	0.91031	0.99405	0.89251	0.99128
Yy2_p1	12	0.015193	0.63069	0.65044	0.96928	0.52825	0.95021
Tsc22d1_p4	12	0.048698	1.2659	0.1739	0.794	0.20554	0.83587
Nr5a2_p2	12	-0.035452	-0.97565	0.32434	0.90448	0.32924	0.88635
Tfdp2_p3	12	0.026909	0.70485	0.43092	0.9316	0.4809	0.94756
Zbtb7b_p1	12	0.096513	2.0018	0.0074561	0.51111	0.045311	0.71248
Hes6_p2	12	0.016646	0.4442	0.62412	0.9596	0.65689	0.96021
Zfp942_p1	4	-0.0044889	-0.10292	0.94079	0.99405	0.91802	0.99287
Ctcf_p1	12	0.076982	2.0668	0.030702	0.61224	0.038754	0.66686
Preb_p3	12	0.0042734	0.12158	0.90154	0.99405	0.90324	0.99128
Plscr1_p1	12	0.026491	0.69188	0.44123	0.93287	0.48901	0.94756
E2f4_p1	12	-0.083281	-2.4522	0.023246	0.59474	0.014197	0.55599
Tead2_p5	12	0.0051073	0.14417	0.87917	0.99405	0.88536	0.99126
Rex2_p1	4	-0.0045018	-0.083428	0.94035	0.99405	0.93351	0.99287
Thyn1_p1	12	0.032909	1.06	0.34474	0.90448	0.28914	0.84273
Zfp57_p4	12	0.046329	1.3129	0.19759	0.82273	0.18922	0.83494
Zfp934_p2	4	-0.057568	-0.80684	0.34254	0.90448	0.41976	0.91455
Phb_p1	12	-0.095851	-2.0373	0.010088	0.51111	0.041622	0.69015
Zfp951_p1	4	-0.036588	-0.72627	0.5511	0.95941	0.46768	0.943
