Gene	sgRNA	Bottom|beta	Bottom|z	Bottom|p-value	Bottom|fdr	Bottom|wald-p-value	Bottom|wald-fdr	Top|beta	Top|z	Top|p-value	Top|fdr	Top|wald-p-value	Top|wald-fdr
ENSMUST00000151972_Zfp711	6	-0.015382	-0.3078	0.74417	0.97692	0.75824	0.98793	0.039872	0.90743	0.23431	0.4928	0.36418	0.59503
ENSMUST00000120711_Gm1848	6	-0.0038543	-0.093569	0.96517	0.99556	0.92545	0.99863	0.0049366	0.13618	0.77362	0.8763	0.89168	0.93889
ENSMUST00000127554_Gm5124	6	-0.013379	-0.31218	0.77951	0.97692	0.7549	0.98793	-0.067481	-1.7893	0.15339	0.39868	0.073573	0.27911
ENSMUST00000052130_Gjb1	6	0.027321	0.40026	0.4968	0.9604	0.68896	0.98793	0.018094	0.30121	0.52113	0.72163	0.76325	0.86474
ENSMUST00000114499_Zfp275	6	-0.044481	-0.79417	0.32343	0.89664	0.4271	0.98793	0.026488	0.53763	0.39052	0.6224	0.59084	0.76398
ENSMUST00000033740_Zfp92	6	-0.059516	-1.7215	0.18976	0.83258	0.085157	0.98793	0.062333	2.0489	0.092446	0.33119	0.04047	0.19879
ENSMUST00000150572_Syp	6	0.018973	0.48706	0.61844	0.9746	0.62621	0.98793	-0.033187	-0.96798	0.48425	0.69852	0.33305	0.55939
ENSMUST00000152248_Gemin8	6	0.0027621	0.076611	0.90704	0.99386	0.93893	0.99863	-0.011253	-0.35467	0.8927	0.94432	0.72284	0.84385
ENSMUST00000129731_Gpm6b	6	-0.061075	-1.3599	0.17721	0.80565	0.17386	0.98793	-0.097039	-2.4552	0.045583	0.22675	0.01408	0.10669
ENSMUST00000116495_Trappc2	6	-0.055823	-0.97268	0.21921	0.85556	0.33071	0.98793	0.070001	1.3864	0.066837	0.27282	0.16564	0.40408
ENSMUST00000155231_Bgn	6	-0.017279	-0.49471	0.70755	0.9746	0.62081	0.98793	-0.010777	-0.35057	0.90448	0.94819	0.72591	0.84617
ENSMUST00000033673_Nono	6	0.01254	0.24178	0.72881	0.97692	0.80895	0.98793	-0.019744	-0.43254	0.72369	0.84484	0.66535	0.81455
ENSMUST00000135086_Gm1720	6	-0.019706	-0.52465	0.67222	0.9746	0.59983	0.98793	0.038293	1.1585	0.24789	0.49769	0.24666	0.48118
ENSMUST00000033674_Itgb1bp2	6	-0.040025	-1.1181	0.37567	0.91084	0.26353	0.98793	0.0069245	0.21993	0.73521	0.85319	0.82593	0.89715
ENSMUST00000119596_Gm14843	6	-0.09381	-1.8062	0.033803	0.51765	0.07089	0.98793	-0.060003	-1.3134	0.2023	0.45387	0.18906	0.42776
ENSMUST00000149274_Taf1	6	0.0091332	0.19732	0.78848	0.97873	0.84358	0.98793	0.10816	2.6551	0.010755	0.13438	0.0079275	0.074564
ENSMUST00000143048_Arhgap6	6	-0.051008	-1.558	0.25608	0.85556	0.11923	0.98793	0.032829	1.1394	0.3096	0.55423	0.25454	0.49004
ENSMUST00000119299_Ogt	6	-0.01331	-0.24307	0.78028	0.97692	0.80795	0.98793	0.12149	2.5215	0.006146	0.097959	0.011687	0.09037
ENSMUST00000156210_Gm15246	6	0.026073	0.79029	0.5114	0.96942	0.42936	0.98793	-0.032241	-1.1102	0.49449	0.70344	0.26689	0.49867
ENSMUST00000036753_Mid1	6	-0.022436	-0.55687	0.62407	0.9746	0.57761	0.98793	-0.05615	-1.5836	0.23047	0.49046	0.1133	0.33308
ENSMUST00000179760_Gm21887	6	-0.021244	-0.59714	0.64661	0.9746	0.55041	0.98793	-0.051195	-1.6352	0.27298	0.52772	0.10201	0.31868
ENSMUST00000157653_Gm23121	6	-0.087287	-1.9222	0.054033	0.64848	0.054578	0.96875	-0.02773	-0.69425	0.57465	0.75556	0.48753	0.69355
ENSMUST00000172155_Gm44	6	-0.0095533	-0.20599	0.85378	0.99299	0.8368	0.98793	0.078088	1.9138	0.047119	0.23086	0.055644	0.2401
ENSMUST00000101968_n-R5s2	6	0.0026074	0.056993	0.91191	0.99386	0.95455	0.99863	0.01094	0.27181	0.6548	0.79319	0.78577	0.87544
ENSMUST00000158389_Gm25520	6	-0.020886	-0.42452	0.65224	0.9746	0.67118	0.98793	-0.015922	-0.36787	0.80154	0.88656	0.71297	0.84088
ENSMUST00000104274_Gm26417	6	-0.022206	-0.50816	0.63022	0.9746	0.61134	0.98793	-0.0037816	-0.098333	0.95826	0.97529	0.92167	0.95264
ENSMUST00000158732_Mir2137	6	-0.051831	-1.3912	0.24994	0.85556	0.16416	0.98793	-0.027138	-0.82762	0.58694	0.76528	0.40788	0.63584
ENSMUST00000104354_Gm22023	6	0.004727	0.099562	0.87042	0.99299	0.92069	0.99757	0.027661	0.66229	0.3749	0.61201	0.50779	0.71113
ENSMUST00000122667_Gm25047	6	-0.0073862	-0.19127	0.90166	0.99386	0.84831	0.98793	0.026697	0.78552	0.38643	0.61844	0.43215	0.64781
ENSMUST00000083602_Mir98	6	-0.078041	-1.2312	0.084507	0.66	0.21826	0.98793	-0.0062632	-0.11246	0.99078	0.99332	0.91046	0.94809
ENSMUST00000083668_Mirlet7f-2	6	-0.12423	-2.5325	0.0071703	0.3	0.011325	0.76266	-0.017019	-0.3945	0.78079	0.87719	0.69321	0.83036
ENSMUST00000033450_Gpc4	6	-0.035062	-0.70819	0.4379	0.94011	0.47883	0.98793	-0.015528	-0.35634	0.80896	0.89237	0.72158	0.84385
ENSMUST00000033486_Plp2	6	0.011263	0.27472	0.7516	0.97692	0.78353	0.98793	-0.087871	-2.4349	0.067862	0.27282	0.014896	0.10873
ENSMUST00000152221_Gk	6	0.0016572	0.038868	0.92855	0.99556	0.969	0.99863	-0.087357	-2.3277	0.069142	0.27411	0.019925	0.13022
ENSMUST00000069360_Gpc3	6	0.035402	0.89564	0.37644	0.91084	0.37044	0.98793	-0.0081797	-0.23512	0.9516	0.97382	0.81412	0.88803
ENSMUST00000130287_Magix	6	-0.017335	-0.38559	0.7073	0.9746	0.6998	0.98793	0.013372	0.33829	0.61127	0.77374	0.73515	0.85059
ENSMUST00000154488_Kis2	6	0.016296	0.38024	0.66351	0.9746	0.70377	0.98793	-0.081424	-2.1583	0.086556	0.3219	0.030904	0.17617
ENSMUST00000119571_Gm14586	6	0.024494	0.66861	0.53572	0.9702	0.50375	0.98793	0.025911	0.8036	0.39974	0.62817	0.42163	0.64064
ENSMUST00000118102_Gm8692	6	-0.099967	-2.1334	0.023303	0.46667	0.03289	0.76266	0.040512	0.98262	0.22766	0.48712	0.3258	0.55556
ENSMUST00000152793_Gm14707	6	-0.032175	-0.63124	0.47606	0.94962	0.52788	0.98793	0.058547	1.3058	0.10627	0.34228	0.19162	0.42776
ENSMUST00000115313_Klhl13	6	-0.020274	-0.50514	0.6612	0.9746	0.61346	0.98793	-0.10182	-2.8821	0.037644	0.21143	0.0039502	0.04976
ENSMUST00000117260_Gm14523	6	0.014696	0.34633	0.68912	0.9746	0.72909	0.98793	-0.11805	-3.1602	0.019462	0.16522	0.0015764	0.026764
ENSMUST00000120747_Gm14915	6	0.016142	0.39326	0.66556	0.9746	0.69413	0.98793	0.034287	0.94914	0.28886	0.53919	0.34255	0.57049
ENSMUST00000113969_Mageb4	6	-0.00029855	-0.0061292	0.96748	0.99556	0.99511	0.99863	0.0084936	0.19817	0.70269	0.83308	0.84291	0.90537
ENSMUST00000116183_Gm41	6	-0.036594	-0.83521	0.41741	0.93486	0.4036	0.98793	0.019546	0.50781	0.49731	0.70344	0.61158	0.77666
ENSMUST00000118274_Mageb7-ps	6	0.0092182	0.11934	0.78745	0.97873	0.905	0.99369	-0.011545	-0.16992	0.88886	0.94432	0.86507	0.92132
ENSMUST00000191072_Gm28730	6	0.005276	0.13684	0.85967	0.99299	0.89116	0.99254	-0.043986	-1.2961	0.34213	0.58468	0.19492	0.43126
ENSMUST00000077569_Smarca1	6	0.00049549	0.0071217	0.95006	0.99556	0.99432	0.99863	0.10762	1.7585	0.011012	0.13438	0.078668	0.28444
ENSMUST00000122244_Gm5648	6	-0.0044195	-0.083156	0.95595	0.99556	0.93373	0.99863	-0.030516	-0.65245	0.52292	0.72261	0.51411	0.71572
ENSMUST00000079490_Nap1l3	6	-0.010859	-0.22665	0.82791	0.98925	0.82069	0.98793	-0.067409	-1.5985	0.15391	0.39868	0.10994	0.32771
ENSMUST00000120768_Gm8876	6	-0.073112	-1.2935	0.10371	0.7129	0.19583	0.98793	0.028932	0.58237	0.35595	0.6026	0.56032	0.74886
ENSMUST00000182943_Gm27000	6	-0.021043	-0.37262	0.65019	0.9746	0.70943	0.98793	-0.012237	-0.24626	0.87503	0.94047	0.80548	0.88442
ENSMUST00000155622_C430049B03Rik	6	-0.021878	-0.5278	0.63457	0.9746	0.59764	0.98793	-0.070125	-1.922	0.13854	0.38921	0.0546	0.23704
ENSMUST00000036333_Prkx	6	-0.035128	-0.66302	0.43739	0.94011	0.50732	0.98793	-0.087599	-1.8788	0.068118	0.27282	0.060274	0.25173
ENSMUST00000113960_Pet2	6	-0.053093	-0.81509	0.24149	0.85556	0.41502	0.98793	-0.045108	-0.78761	0.33009	0.57289	0.43093	0.64722
ENSMUST00000176986_Arhgef6	6	0.036863	0.8258	0.35723	0.9016	0.40891	0.98793	-0.1135	-2.8885	0.022279	0.17228	0.0038704	0.049554
ENSMUST00000114843_Plac1	6	-0.13405	-2.4097	0.0046095	0.3	0.015964	0.76266	0.075232	1.537	0.052753	0.24524	0.12429	0.34918
ENSMUST00000188967_Nanog-ps1	6	0.039102	0.58304	0.33035	0.89664	0.55987	0.98793	-0.18733	-3.1701	0.0010243	0.023529	0.0015239	0.026764
ENSMUST00000114838_Fam122b	6	-0.064174	-1.0255	0.15877	0.78734	0.30513	0.98793	-0.061947	-1.1249	0.18822	0.4362	0.26061	0.49283
ENSMUST00000118503_Gm14753	6	0.004691	0.058765	0.87068	0.99299	0.95314	0.99863	-0.026209	-0.37318	0.59949	0.76737	0.70901	0.83787
ENSMUST00000145872_Bcor	6	-0.056312	-1.1163	0.21536	0.85556	0.26428	0.98793	0.17804	4.0116	0.0010243	0.023529	6.0312e-05	0.002048
ENSMUST00000149154_Pcdh19	6	0.045146	1.4903	0.26172	0.85633	0.13615	0.98793	-0.023235	-0.87144	0.65608	0.79319	0.38352	0.60879
ENSMUST00000152743_Mospd1	6	-0.0089476	-0.21261	0.86863	0.99299	0.83163	0.98793	-0.04586	-1.2382	0.32343	0.56473	0.21565	0.45276
ENSMUST00000176718_Tspan6	6	-0.036074	-0.75718	0.4251	0.93521	0.44894	0.98793	-0.017103	-0.40797	0.77951	0.87719	0.6833	0.82609
ENSMUST00000126209_Prrg1	6	0.0071866	0.14041	0.82535	0.98925	0.88834	0.99254	-0.003352	-0.074414	0.95032	0.97382	0.94068	0.96565
ENSMUST00000113297_Sytl4	6	-0.029504	-0.68075	0.50986	0.96942	0.49603	0.98793	-0.020398	-0.53495	0.71114	0.83519	0.59269	0.76422
ENSMUST00000006856_Pola1	6	0.056406	1.3793	0.16312	0.7913	0.16781	0.98793	-0.088102	-2.4472	0.067606	0.27282	0.014398	0.10669
ENSMUST00000098470_Rbmx	6	-0.055289	-1.0335	0.22356	0.85556	0.30138	0.98793	0.0039963	0.084894	0.79283	0.88519	0.93235	0.95937
ENSMUST00000179788_Gm7173	6	0.024082	0.5635	0.54161	0.9702	0.5731	0.98793	0.058106	1.5451	0.10704	0.34228	0.12233	0.34615
ENSMUST00000052283_Mageb16	6	-0.031008	-0.69248	0.49219	0.95622	0.48864	0.98793	-0.054466	-1.3821	0.24609	0.49664	0.16696	0.40408
ENSMUST00000121831_Gm14760	6	-0.018769	-0.40836	0.6863	0.9746	0.68301	0.98793	0.0052722	0.13033	0.76671	0.8763	0.8963	0.93978
ENSMUST00000039026_Apln	6	-0.017309	-0.27702	0.7073	0.9746	0.78177	0.98793	-0.015142	-0.27543	0.81921	0.9024	0.78299	0.87359
ENSMUST00000088779_Cxx1a	6	-0.050067	-0.61645	0.263	0.85633	0.5376	0.98793	-0.0087775	-0.12283	0.94264	0.96741	0.90224	0.9433
ENSMUST00000159231_Nox1	6	0.046201	1.1083	0.24942	0.85556	0.26772	0.98793	-0.07607	-2.0729	0.10781	0.34228	0.038186	0.19487
ENSMUST00000088778_Cxx1b	6	-0.027716	-0.38444	0.53828	0.9702	0.70065	0.98793	0.071472	1.1271	0.06146	0.26816	0.25968	0.49226
ENSMUST00000148722_Xkrx	6	0.011135	0.24126	0.75365	0.97692	0.80935	0.98793	0.050076	1.2329	0.14648	0.39044	0.2176	0.45562
ENSMUST00000192662_AW822252	6	-0.041207	-0.77713	0.36133	0.9016	0.43708	0.98793	0.061048	1.3087	0.096287	0.33447	0.19062	0.42776
ENSMUST00000045748_Pdk3	6	0.0093509	0.18412	0.78566	0.97873	0.85392	0.98793	-0.026938	-0.6027	0.59001	0.76667	0.54671	0.74128
ENSMUST00000067940_1700013H16Rik	6	-0.054509	-1.3399	0.23175	0.85556	0.18028	0.98793	-0.038853	-1.0853	0.40384	0.63206	0.27781	0.5083
ENSMUST00000117999_Supt20-ps	6	-0.079588	-1.4849	0.077081	0.65051	0.13758	0.98793	-0.012137	-0.25738	0.87657	0.94047	0.79688	0.88442
ENSMUST00000071711_Zfp36l3	6	-0.032594	-0.76589	0.47068	0.94962	0.44374	0.98793	0.026096	0.69683	0.39667	0.62817	0.48591	0.69349
ENSMUST00000088102_Zfx	6	-0.044505	-0.89798	0.32292	0.89664	0.3692	0.98793	-0.06804	-1.5599	0.15058	0.39797	0.11879	0.33736
ENSMUST00000067782_Xlr	6	-0.041463	-0.96442	0.35928	0.9016	0.33484	0.98793	-0.054501	-1.4405	0.24609	0.49664	0.14973	0.38717
ENSMUST00000128115_Trmt2b	6	-0.047479	-1.1636	0.29091	0.875	0.24458	0.98793	-0.059241	-1.6497	0.20589	0.45682	0.099003	0.31431
ENSMUST00000127963_Eif2s3x	5	0.012826	0.26486	0.7411	0.97692	0.79112	0.98793	-0.11301	-2.6512	0.035595	0.20746	0.0080197	0.074564
ENSMUST00000057645_Gpr101	6	-0.063977	-1.7393	0.15928	0.78734	0.081979	0.98793	0.058673	1.8129	0.10551	0.34191	0.069853	0.27278
ENSMUST00000132652_Zdhhc9	6	0.045869	1.0963	0.25455	0.85556	0.27293	0.98793	-0.058443	-1.5868	0.21383	0.47042	0.11255	0.33308
ENSMUST00000113902_Fam90a1b	6	0.045834	0.72733	0.2548	0.85556	0.46703	0.98793	-0.26236	-4.7255	0.00025608	0.0083333	2.2956e-06	0.00012806
ENSMUST00000033497_Pqbp1	6	0.013439	0.33459	0.71319	0.97692	0.73794	0.98793	0.02731	0.77306	0.37849	0.61201	0.43949	0.65037
ENSMUST00000060108_1810030O07Rik	6	0.02196	0.43168	0.57029	0.97457	0.66597	0.98793	0.0071461	0.15961	0.72932	0.84762	0.87319	0.92532
ENSMUST00000145767_Fgf13	6	-0.091553	-1.6393	0.039949	0.57778	0.10115	0.98793	0.084547	1.7222	0.036364	0.2087	0.08504	0.29518
ENSMUST00000113223_Taf7l	6	-0.008096	-0.18485	0.88579	0.99386	0.85334	0.98793	-0.050326	-1.3056	0.28297	0.53511	0.1917	0.42776
ENSMUST00000054213_Timm8a1	6	0.0040621	0.12499	0.88195	0.99386	0.90053	0.99369	0.02647	0.92539	0.39104	0.6224	0.35476	0.58453
ENSMUST00000101561_Gm773	6	0.023094	0.49327	0.5557	0.97309	0.62182	0.98793	-0.069583	-1.6885	0.14213	0.39021	0.091315	0.30873
ENSMUST00000153386_Maged1	6	-0.014689	-0.33167	0.75723	0.97692	0.74014	0.98793	-0.10456	-2.6823	0.034315	0.20451	0.0073123	0.070505
ENSMUST00000128333_Btk	6	0.00070111	0.019257	0.94571	0.99556	0.98464	0.99863	-0.041762	-1.3034	0.36978	0.60926	0.19244	0.42818
ENSMUST00000033500_Eras	6	-0.058304	-1.1582	0.19821	0.85556	0.24679	0.98793	0.14879	3.3609	0.0015365	0.030769	0.00077677	0.016852
ENSMUST00000113097_Morf4l2	6	-0.051845	-0.92844	0.24994	0.85556	0.35318	0.98793	-0.12961	-2.637	0.013316	0.15294	0.0083649	0.07641
ENSMUST00000063507_Mcf2	6	-0.043717	-0.63905	0.33444	0.89664	0.52279	0.98793	0.17081	2.837	0.0010243	0.023529	0.0045537	0.054714
ENSMUST00000142240_Gm371	6	-0.0044422	-0.076675	0.95544	0.99556	0.93888	0.99863	0.021756	0.42729	0.46428	0.68864	0.66916	0.81762
ENSMUST00000096367_Spin4	6	-0.034443	-1.0044	0.44763	0.94308	0.31521	0.98793	-0.031408	-1.0406	0.50627	0.71115	0.29804	0.52648
ENSMUST00000115481_Med14	6	0.013012	0.21425	0.72138	0.97692	0.83035	0.98793	-0.26644	-4.9832	0.00025608	0.0083333	6.2532e-07	4.4096e-05
ENSMUST00000114958_Elf4	6	-0.049608	-0.98009	0.26863	0.85633	0.32704	0.98793	-0.12031	-2.7006	0.017926	0.16522	0.0069221	0.068659
ENSMUST00000121152_Gm14633	6	-0.060704	-1.5931	0.17951	0.80565	0.11113	0.98793	-0.0045983	-0.13715	0.97337	0.98217	0.89091	0.93889
ENSMUST00000033621_Gla	6	0.020085	0.58075	0.59667	0.9746	0.56141	0.98793	-0.023617	-0.77587	0.64789	0.79319	0.43783	0.65037
ENSMUST00000033480_Atp11c	6	-0.073172	-1.3227	0.10346	0.7129	0.18594	0.98793	0.025938	0.53311	0.39949	0.62817	0.59396	0.76422
ENSMUST00000143466_Aifm1	6	-0.025057	-0.6497	0.58028	0.9746	0.51589	0.98793	0.0056382	0.16613	0.75954	0.87107	0.86806	0.92238
ENSMUST00000052431_Armcx6	6	-0.022821	-0.59212	0.61639	0.9746	0.55377	0.98793	-0.026817	-0.79064	0.59181	0.76667	0.42915	0.64716
ENSMUST00000113193_Armcx2	6	-0.05317	-1.3556	0.24123	0.85556	0.17524	0.98793	0.057333	1.6617	0.11088	0.3464	0.096563	0.31423
ENSMUST00000081133_Gm648	6	-0.014534	-0.31115	0.75928	0.97692	0.75569	0.98793	-0.023384	-0.5691	0.65327	0.79319	0.56929	0.75503
ENSMUST00000058814_Rab9b	6	-0.036755	-0.82998	0.41511	0.93486	0.40655	0.98793	-0.018469	-0.4739	0.75211	0.86637	0.63557	0.79212
ENSMUST00000180194_Tmsb15b2	6	-0.028798	-0.69497	0.52113	0.9702	0.48707	0.98793	-0.011002	-0.30168	0.89962	0.94435	0.7629	0.86474
ENSMUST00000127404_Tmsb15l	6	-0.028798	-0.69497	0.52113	0.9702	0.48707	0.98793	-0.011002	-0.30168	0.89962	0.94435	0.7629	0.86474
ENSMUST00000113071_Tmsb15b1	6	0.013571	0.3774	0.7096	0.9757	0.70588	0.98793	-0.0027907	-0.088177	0.93803	0.96395	0.92974	0.95795
ENSMUST00000143059_Nxf2	6	0.028161	0.7931	0.48399	0.95427	0.42772	0.98793	0.00084718	0.027111	0.8612	0.9337	0.97837	0.99235
ENSMUST00000123516_Slc25a53	6	-0.013839	-0.33965	0.77183	0.97692	0.73412	0.98793	0.019801	0.55225	0.49219	0.70344	0.58078	0.75503
ENSMUST00000059899_Mmgt1	6	-0.0125	-0.30663	0.79565	0.97984	0.75912	0.98793	0.020861	0.58147	0.47708	0.69852	0.56093	0.74886
ENSMUST00000137499_Hdac6	6	0.053548	0.80961	0.18259	0.80565	0.41817	0.98793	-0.070614	-1.2127	0.13624	0.38551	0.22525	0.46417
ENSMUST00000113185_Zmat1	6	0.029898	0.89074	0.45736	0.94308	0.37307	0.98793	-0.052727	-1.7847	0.26018	0.51574	0.07431	0.27911
ENSMUST00000113066_Esx1	6	-0.089769	-0.88791	0.045583	0.63571	0.37459	0.98793	0.3815	4.3025	0	0	1.689e-05	0.00073284
ENSMUST00000142907_3632454L22Rik	6	-0.016588	-0.34025	0.7242	0.97692	0.73367	0.98793	-0.079823	-1.8603	0.091933	0.33088	0.062849	0.25834
ENSMUST00000033783_Tceal6	6	0.042395	1.0604	0.29091	0.875	0.28896	0.98793	0.00017378	0.0049392	0.87503	0.94047	0.99606	0.99862
ENSMUST00000169499_Gm14569	6	0.036049	1.1696	0.36927	0.90978	0.24216	0.98793	-0.032106	-1.1835	0.49731	0.70344	0.23663	0.47115
ENSMUST00000135107_Sox3	6	-0.064749	-1.2703	0.15544	0.78734	0.20398	0.98793	-0.023627	-0.52682	0.64789	0.79319	0.59832	0.7673
ENSMUST00000033626_Serpina7	6	-0.046419	-0.99531	0.30038	0.875	0.31959	0.98793	-0.09326	-2.2721	0.052497	0.24524	0.023083	0.14308
ENSMUST00000128289_Ccdc120	6	0.013878	0.45885	0.70448	0.9746	0.64634	0.98793	0.029648	1.1139	0.34853	0.59432	0.26533	0.49693
ENSMUST00000076635_Zfp280c	6	0.036891	1.0124	0.35672	0.9016	0.31133	0.98793	-0.036331	-1.1328	0.44225	0.66809	0.25731	0.49103
ENSMUST00000051906_Akap17b	6	0.018022	0.40722	0.6315	0.9746	0.68385	0.98793	-0.028279	-0.72604	0.56825	0.75169	0.46781	0.67535
ENSMUST00000136817_Lamp2	6	-0.10536	-1.733	0.017157	0.40606	0.083095	0.98793	-0.12025	-2.2475	0.017926	0.16522	0.02461	0.14785
ENSMUST00000122000_Llph-ps2	6	0.0029353	0.057236	0.90346	0.99386	0.95436	0.99863	0.091421	2.0264	0.027913	0.2	0.042722	0.20534
ENSMUST00000186931_2010308F09Rik	6	0.078835	1.2907	0.060179	0.65051	0.19682	0.98793	-0.077228	-1.4362	0.10166	0.33586	0.15095	0.38717
ENSMUST00000113163_Nxf7	6	-0.052568	-1.3403	0.24507	0.85556	0.18015	0.98793	0.056767	1.6452	0.1137	0.35038	0.099928	0.31503
ENSMUST00000197364_Arhgef9	6	-0.055766	-1.2602	0.22049	0.85556	0.20759	0.98793	0.10111	2.5976	0.017157	0.16522	0.009387	0.077171
ENSMUST00000118975_Gm9434	6	-0.080063	-2.1048	0.075288	0.65051	0.03531	0.76266	-0.05434	-1.6233	0.24738	0.49769	0.10452	0.32152
ENSMUST00000118985_Gm14541	6	0.042241	0.80426	0.29142	0.875	0.42125	0.98793	0.048113	1.0411	0.16184	0.40757	0.29781	0.52648
ENSMUST00000127966_C330007P06Rik	6	0.015804	0.22793	0.67068	0.9746	0.8197	0.98793	-0.057975	-0.94975	0.21767	0.47354	0.34224	0.57049
ENSMUST00000126339_Platr21	6	0.033044	0.69823	0.40896	0.93392	0.48503	0.98793	0.052501	1.2608	0.13393	0.38036	0.20739	0.44408
ENSMUST00000078605_Tcp11x2	6	0.035104	0.87079	0.38259	0.92222	0.38387	0.98793	-0.033182	-0.93523	0.48425	0.69852	0.34967	0.57858
ENSMUST00000113154_Tmsb15a	6	-0.075218	-1.3942	0.09475	0.69533	0.16327	0.98793	0.03479	0.73288	0.28297	0.53511	0.46363	0.67304
ENSMUST00000183537_Gm15013	6	-0.079048	-1.2939	0.078873	0.65051	0.19569	0.98793	0.019675	0.36662	0.49552	0.70344	0.7139	0.84088
ENSMUST00000101217_Ripply1	6	-0.019649	-0.25628	0.67324	0.9746	0.79774	0.98793	0.3024	4.4819	0	0	7.3987e-06	0.00036115
ENSMUST00000129479_Tslrn1	6	-0.16108	-1.7412	0.0017926	0.25	0.081646	0.98793	0.34452	4.2488	0	0	2.1497e-05	0.00088362
ENSMUST00000147129_Cul4b	6	0.037994	0.50256	0.34494	0.901	0.61527	0.98793	-0.069236	-1.0403	0.14366	0.39044	0.29821	0.52648
ENSMUST00000172366_Morc4	6	0.0016202	0.024299	0.92881	0.99556	0.98061	0.99863	0.14215	2.4242	0.0017926	0.034146	0.015343	0.10993
ENSMUST00000114379_Renbp	6	-0.0090152	-0.22798	0.86786	0.99299	0.81966	0.98793	-0.042369	-1.2173	0.36338	0.60641	0.22349	0.46376
ENSMUST00000069926_Slitrk4	6	0.011654	0.2443	0.74545	0.97692	0.807	0.98793	0.021033	0.501	0.47401	0.69849	0.61637	0.77895
ENSMUST00000033502_Gata1	6	-0.0027357	-0.014746	0.98643	0.99641	0.98823	0.99863	0.65674	4.0248	0	0	5.7034e-05	0.0020247
ENSMUST00000049130_Bex2	6	-0.038278	-0.90104	0.39693	0.93353	0.36757	0.98793	-0.027251	-0.72887	0.58489	0.76516	0.46608	0.67534
ENSMUST00000080929_Nxf3	6	0.019587	0.35075	0.60461	0.9746	0.72578	0.98793	0.014156	0.28814	0.5936	0.76667	0.77324	0.86642
ENSMUST00000113011_Rbm41	6	-0.11657	-2.0884	0.010499	0.34167	0.036762	0.76266	0.054337	1.1077	0.12548	0.36296	0.26797	0.49949
ENSMUST00000033503_Glod5	6	0.05137	1.4427	0.20179	0.85556	0.14911	0.98793	0.063231	2.0178	0.089373	0.3277	0.043617	0.20771
ENSMUST00000118047_Gm14681	6	0.021252	0.50021	0.579	0.97457	0.61693	0.98793	0.013385	0.35803	0.61127	0.77374	0.72032	0.84385
ENSMUST00000060101_Tceal8	5	0.032273	0.92382	0.45557	0.94308	0.35558	0.98793	0.043987	1.4309	0.23431	0.4928	0.15247	0.38717
ENSMUST00000066819_Tceal5	6	-0.065701	-1.0134	0.14853	0.77333	0.31085	0.98793	-0.064784	-1.1358	0.16876	0.40805	0.25605	0.49103
ENSMUST00000133780_Nup62cl	6	-0.13012	-1.6085	0.0058899	0.3	0.10773	0.98793	0.35639	5.0118	0	0	5.3912e-07	4.2105e-05
ENSMUST00000058125_Bex1	6	-0.027641	-0.44278	0.53931	0.9702	0.65792	0.98793	0.056574	1.0304	0.11447	0.35038	0.3028	0.53024
ENSMUST00000026325_4933436I01Rik	6	0.028054	0.69894	0.48553	0.95427	0.48459	0.98793	-0.042576	-1.2051	0.36082	0.60472	0.22815	0.46769
ENSMUST00000057093_Nkrf	6	-0.04902	-1.068	0.27529	0.86345	0.28551	0.98793	0.084896	2.1025	0.034827	0.20451	0.03551	0.19259
ENSMUST00000128766_Sept6	6	-0.037372	-0.87079	0.4064	0.93353	0.38387	0.98793	-0.065392	-1.7311	0.16543	0.40757	0.083439	0.29145
ENSMUST00000115636_Suv39h1	6	-0.086682	-2.1125	0.056338	0.65051	0.034641	0.76266	0.035487	0.98323	0.27785	0.53056	0.32549	0.55556
ENSMUST00000133023_Tsc22d3	6	0.019604	0.47558	0.60384	0.9746	0.63437	0.98793	-0.04878	-1.3445	0.29654	0.5446	0.17878	0.41804
ENSMUST00000115435_Cask	6	-0.10441	-2.5341	0.01895	0.42286	0.011275	0.76266	0.028574	0.78806	0.36056	0.60472	0.43066	0.64722
ENSMUST00000114928_Gm595	6	-0.025866	-0.69289	0.56697	0.97457	0.48838	0.98793	0.0067195	0.20454	0.74059	0.85799	0.83793	0.90266
ENSMUST00000114372_Hcfc1	6	0.039383	0.67333	0.32778	0.89664	0.50074	0.98793	0.14213	2.7621	0.0017926	0.034146	0.0057439	0.062396
ENSMUST00000058265_C1galt1c1	6	0.042822	0.80656	0.28553	0.875	0.41992	0.98793	-0.011349	-0.24288	0.89091	0.94432	0.8081	0.88517
ENSMUST00000118460_Gm14542	6	-0.022952	-0.40544	0.6146	0.9746	0.68516	0.98793	0.032972	0.66188	0.30755	0.55346	0.50805	0.71113
ENSMUST00000044179_Tex13b	6	0.014415	0.36733	0.69552	0.9746	0.71337	0.98793	0.048724	1.4108	0.15826	0.40658	0.1583	0.395
ENSMUST00000138799_Rpl39	6	0.024908	0.4077	0.52907	0.9702	0.68349	0.98793	0.12186	2.2666	0.0058899	0.095833	0.023416	0.144
ENSMUST00000033505_Was	6	-0.0067996	-0.14595	0.9137	0.99387	0.88396	0.99254	-0.051541	-1.2569	0.27119	0.52687	0.2088	0.44433
