Gene	sgRNA	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr
Klf10_p3	12	0.0099245	0.12685	0.71294	0.9583	0.89906	1
Gbx2_p2	12	0.010381	0.10641	0.70504	0.95774	0.91526	1
Tgif1_p1	12	0.019015	0.32459	0.56579	0.921	0.74549	1
Mier3_p4	12	-0.13672	-1.9582	0.018202	0.26774	0.050203	1
Wdhd1_p2	12	0.026714	0.22618	0.45241	0.87787	0.82106	1
Tgif2_p1	12	-0.063956	-0.67151	0.23048	0.74276	0.5019	1
Ybx1_p1	12	0.028797	0.36917	0.42632	0.87056	0.712	1
Zfp212_p1	12	0.0076887	0.12615	0.74912	0.9701	0.89961	1
Nfkb2_p1	12	-0.042546	-0.53021	0.4489	0.87548	0.59597	1
Zfp566_p1	12	0.034327	0.46617	0.35811	0.85247	0.6411	1
Smarcc1_p1	12	0.0067816	0.096998	0.76338	0.97296	0.92273	1
Arid4b_p1	12	-0.021422	-0.34094	0.75395	0.9701	0.73315	1
Klf8_p2	12	0.038356	0.69036	0.31557	0.82989	0.48997	1
Zfp532_p3	12	-0.029994	-0.45279	0.62215	0.93485	0.6507	1
Zscan10_p1	12	-0.053772	-0.85899	0.31667	0.82989	0.39035	1
Gtf2ird1_p1	12	0.00055275	0.0066478	0.86974	0.98271	0.9947	1
Aff1_p2	12	-0.050235	-0.627	0.35373	0.85247	0.53066	1
Gm49359_p1	8	-0.015546	-0.18452	0.87346	0.98271	0.85361	1
Esx1_p2	12	0.084569	1.0145	0.041228	0.39167	0.31035	1
Zfp52_p1	12	-0.049693	-0.60492	0.35855	0.85247	0.54523	1
Rhox9_p1	12	-0.077849	-1.2539	0.14298	0.61792	0.20986	1
Cc2d1a_p1	12	0.06818	1.3761	0.098684	0.59346	0.16879	1
Bhlhe40_p1	12	0.085571	1.1866	0.039035	0.38696	0.23537	1
Bcorl1_p3	12	0.10178	1.0582	0.019518	0.27813	0.28995	1
Sall2_p2	12	-0.082338	-0.99514	0.12237	0.61189	0.31967	1
Foxn3_p1	12	0.028759	0.35819	0.42675	0.87056	0.7202	1
Tsc22d1_p3	12	0.020062	0.30046	0.54803	0.91371	0.76382	1
Sp3_p2	12	-0.028373	-0.40743	0.64671	0.94671	0.68369	1
Chd8_p1	12	0.01991	0.29065	0.55066	0.91564	0.77132	1
Tfeb_p1	12	-0.11034	-2.0436	0.047149	0.41748	0.040992	1
Kat8_p1	12	0.10156	0.85672	0.019518	0.27813	0.3916	1
Jpx_p1	12	-0.082051	-1.0613	0.1239	0.61189	0.28854	1
Foxn3_p3	12	-0.0094772	-0.089989	0.95351	0.99208	0.9283	1
Arid4b_p3	12	0.018395	0.25631	0.57522	0.92513	0.79771	1
Kansl3_p1	12	-0.0054886	-0.057279	0.97522	0.99208	0.95432	1
Zfp592_p1	12	-0.0074862	-0.093442	0.98882	0.99208	0.92555	1
Ncor1_p1	12	-0.019106	-0.2985	0.78969	0.97296	0.76532	1
Pias2_p2	12	0.11222	1.4329	0.012061	0.2383	0.15189	1
Zfp948_p1	12	-0.00063177	-0.0072631	0.89079	0.98271	0.9942	1
Zfp12_p1	12	-0.017576	-0.22221	0.81469	0.97429	0.82415	1
Zfp64_p1	12	-0.060339	-0.58579	0.26096	0.79076	0.55802	1
Zkscan5_p3	12	0.03465	0.59721	0.35526	0.85247	0.55036	1
Ubtf_p4	12	-0.020658	-0.28638	0.76535	0.97296	0.77459	1
Tcf12_p3	12	0.04379	0.5455	0.26184	0.79076	0.58541	1
Nfatc4_p2	12	-0.041307	-0.4177	0.46228	0.88571	0.67617	1
Zfp213_p1	12	0.069457	1.1169	0.092325	0.57671	0.26404	1
Zfp710_p1	12	0.020117	0.2598	0.54715	0.91371	0.79502	1
Zfp623_p1	12	-0.0018388	-0.023948	0.91162	0.98624	0.98089	1
Tfap2c_p1	12	0.012757	0.18996	0.66096	0.94851	0.84934	1
Foxd3_p1	12	0.025461	0.27134	0.47149	0.89027	0.78613	1
Etv4_p1	12	0.087108	1.0383	0.037281	0.38681	0.29914	1
Zfp148_p2	12	0.030458	0.39583	0.40154	0.8662	0.69223	1
Nr4a1_p1	12	0.14603	1.3999	0.0019737	0.069231	0.16155	1
Tfb1m_p1	12	0.056498	0.6934	0.16118	0.64737	0.48806	1
Kansl1_p3	12	-0.058466	-0.47483	0.27851	0.80961	0.63491	1
Zscan21_p1	12	0.078107	0.98594	0.057675	0.44132	0.32416	1
Zfp473_p2	12	-0.00067701	-0.0068439	0.89189	0.98271	0.99454	1
Gpbp1_p1	12	0.015578	0.19543	0.61623	0.93485	0.84505	1
Zkscan5_p1	12	-0.13109	-1.5554	0.022588	0.29444	0.11985	1
Zfp866_p1	12	-0.014891	-0.18029	0.8614	0.98271	0.85693	1
Hmga2_p1	12	0.015683	0.24731	0.6136	0.93485	0.80467	1
Zfp322a_p2	12	0.078894	0.62787	0.055702	0.44132	0.53009	1
Pias3_p2	12	0.042274	0.58526	0.27544	0.80961	0.55837	1
Dnajc2_p1	12	-0.027452	-0.52167	0.66096	0.94851	0.6019	1
Msl2_p2	12	-0.0014984	-0.022716	0.90724	0.98621	0.98188	1
Tet2_p1	12	-0.06764	-0.7364	0.20548	0.70149	0.46149	1
Sp5_p1	12	0.030546	0.37938	0.40066	0.8662	0.70441	1
Foxo3_p1	12	0.0058826	0.067195	0.78048	0.97296	0.94643	1
Tax1bp1_p1	12	-0.045957	-0.78777	0.40263	0.8662	0.43083	1
Zfp868_p1	12	0.004368	0.067487	0.80482	0.97298	0.94619	1
Foxp1_p3	12	-0.020826	-0.26739	0.76228	0.97296	0.78917	1
Pias3_p1	12	-0.035762	-0.45086	0.53596	0.8989	0.65209	1
Foxn3_p4	12	-0.016352	-0.17047	0.8375	0.97727	0.86464	1
Smad5_p2	12	-0.0013612	-0.014168	0.90307	0.98621	0.9887	1
Nr3c1_p4	12	0.045208	0.66451	0.24759	0.77329	0.50636	1
Zfp516_p1	12	-0.043312	-0.73904	0.43728	0.87056	0.45988	1
Esrrb_p2	12	-0.082296	-1.1721	0.12281	0.61189	0.24117	1
Tada2b_p1	12	-0.064851	-0.77048	0.22259	0.72242	0.44101	1
Hesx1_p1	12	0.003835	0.047591	0.81601	0.97429	0.96204	1
Zfp758_p1	12	0.06144	0.64912	0.13333	0.61792	0.51626	1
Mycn_p1	12	-0.020168	-0.39325	0.77259	0.97296	0.69414	1
Zfp568_p2	12	-0.065015	-0.70784	0.22149	0.72143	0.47905	1
Ssrp1_p1	12	-0.10849	-0.91219	0.050658	0.43178	0.36167	1
Zfp646_p1	12	0.022879	0.26468	0.50482	0.8938	0.79125	1
Son_p1	12	0.030084	0.34331	0.4068	0.8662	0.73136	1
Bbx_p1	12	-0.04322	-0.51648	0.43882	0.87056	0.60552	1
Tgif1_p3	12	-0.017258	-0.25585	0.81886	0.97429	0.79807	1
Sohlh2_p1	12	-0.031532	-0.39577	0.60066	0.93485	0.69228	1
Mta2_p2	12	-0.026787	-0.51922	0.66886	0.95016	0.60361	1
Thyn1_p2	12	0.064104	0.80264	0.12018	0.61189	0.42218	1
Zbtb7b_p2	12	-0.027955	-0.34693	0.65461	0.94684	0.72865	1
Zgpat_p2	12	-0.078586	-0.93522	0.13991	0.61792	0.34967	1
Zscan26_p1	12	-0.067791	-0.81412	0.20461	0.70149	0.41557	1
Tfam_p3	12	-0.031791	-0.27051	0.59539	0.93485	0.78677	1
Gabpb1_p2	12	0.022966	0.30455	0.50373	0.8938	0.76071	1
Tbx3_p1	12	0.067647	0.83804	0.1011	0.5975	0.40201	1
Sp1_p2	12	-0.34798	-3.2586	0	0	0.0011197	0.0851
Zgpat_p1	12	0.0053956	0.060165	0.78816	0.97296	0.95202	1
Mbd4_p1	12	0.075951	0.71092	0.064254	0.47258	0.47713	1
Nr1h2_p1	12	0.031837	0.32599	0.38553	0.8662	0.74443	1
Aebp2_p3	12	-0.074319	-0.67575	0.16184	0.64737	0.4992	1
Tax1bp1_p2	12	0.0027904	0.0402	0.83443	0.97727	0.96793	1
Zfp516_p3	12	0.025027	0.354	0.47697	0.89363	0.72334	1
Gm2381_p1	8	0.022486	0.20644	0.59013	0.93114	0.83645	1
Gata1_p2	12	-0.02724	-0.30032	0.6625	0.94851	0.76393	1
Zfp511_p1	12	-0.030488	-0.42683	0.61623	0.93485	0.6695	1
Zfp207_p1	12	-0.15745	-2.0412	0.0078947	0.18947	0.041233	1
Zfp217_p2	12	-0.026056	-0.3665	0.68136	0.95046	0.71399	1
Arid4a_p1	12	-0.124	-2.6536	0.028289	0.33506	0.0079639	0.36315
Zfp869_p1	12	-0.067001	-0.74772	0.21053	0.70849	0.45463	1
Nfe2l1_p2	12	-0.019699	-0.19483	0.77873	0.97296	0.84553	1
Tcf7_p1	12	-0.021947	-0.31921	0.74627	0.9701	0.74957	1
Zfp953_p1	12	0.023824	0.32595	0.49276	0.8938	0.74446	1
Hes1_p1	12	0.053146	0.43419	0.18509	0.69752	0.66415	1
Terf2_p1	12	-0.0090781	-0.15437	0.95965	0.99208	0.87732	1
Rfx2_p1	12	0.040875	0.44981	0.28904	0.80961	0.65285	1
Mysm1_p1	12	-0.008199	-0.11473	0.97851	0.99208	0.90866	1
Zfp141_p1	12	-0.026297	-0.28457	0.67632	0.95046	0.77597	1
Mllt10_p1	12	-0.0098753	-0.11258	0.94846	0.99208	0.91036	1
Thap11_p1	12	-0.038588	-0.60549	0.49934	0.8938	0.54485	1
Gm44973_p1	12	-0.049699	-0.77373	0.35855	0.85247	0.43909	1
Zfp729a_p1	10	0.011902	0.16724	0.69803	0.95774	0.86718	1
Zfp260_p1	12	-0.016401	-0.19766	0.83728	0.97727	0.84331	1
Ftx_p3	12	-0.14993	-1.497	0.0089912	0.19524	0.13439	1
Stat6_p1	12	-0.029641	-0.31571	0.62807	0.93485	0.75222	1
Tfdp2_p2	12	-0.016791	-0.20185	0.83026	0.97727	0.84003	1
Irf3_p2	12	-0.028285	-0.33159	0.64912	0.94684	0.7402	1
Cic_p2	12	0.02158	0.26519	0.5239	0.89533	0.79086	1
Jarid2_p2	12	0.01673	0.36436	0.59956	0.93485	0.71559	1
Zscan12_p1	12	-0.0018128	-0.015178	0.91075	0.98624	0.98789	1
Cdc5l_p1	12	-0.062228	-0.54776	0.2443	0.76564	0.58386	1
Zfp51_p1	12	-0.040504	-0.39689	0.47412	0.89278	0.69145	1
Dmrt1_p1	12	-0.00081492	-0.011602	0.89364	0.98271	0.99074	1
Zfp777_p2	12	-0.048139	-0.66184	0.37697	0.8662	0.50808	1
Cebpz_p1	12	0.028123	0.28831	0.43487	0.87056	0.77311	1
Zfp110_p2	12	0.00067721	0.009153	0.86754	0.98271	0.9927	1
Znfx1_p1	12	0.0049126	0.073128	0.79583	0.97296	0.9417	1
Atf6_p1	12	0.010651	0.136	0.69803	0.95774	0.89182	1
Zfp62_p2	12	0.0043056	0.057293	0.80548	0.97298	0.95431	1
Tgif1_p2	12	-0.044848	-0.74076	0.41491	0.87056	0.45884	1
Zfp358_p1	12	0.069689	0.75142	0.091447	0.57517	0.4524	1
2610044O15Rik8_p1	12	0.050329	0.66352	0.20351	0.70149	0.507	1
Zfp74_p1	12	-0.0061973	-0.0627	0.98816	0.99208	0.95001	1
Gm6871_p1	12	-0.037861	-0.51354	0.50877	0.89392	0.60757	1
Zfp600_p1	5	0.035487	0.354	0.52522	0.89533	0.72334	1
Crxos_p2	12	0.023243	0.28043	0.49934	0.8938	0.77915	1
Tox4_p2	12	-0.26561	-3.3406	0	0	0.00083602	0.076245
Pknox1_p1	12	0.041772	0.90341	0.2807	0.80961	0.36631	1
Zfp637_p1	12	0.0055123	0.087477	0.78706	0.97296	0.93029	1
Foxp1_p6	12	0.015495	0.21504	0.61689	0.93485	0.82974	1
Lin28b_p1	12	-0.042362	-0.43033	0.45022	0.87548	0.66695	1
Zfp808_p1	4	0.0063479	0.056955	0.86623	0.98271	0.95458	1
Pbx2_p3	12	-0.049915	-0.47313	0.3568	0.85247	0.63612	1
Zbtb44_p2	12	-0.025799	-0.32474	0.68509	0.95389	0.74538	1
Peg3_p1	12	-0.0097319	-0.11485	0.95088	0.99208	0.90856	1
Atf5_p1	12	-0.10518	-0.82503	0.057456	0.44132	0.40935	1
Dnmt1_p1	12	-0.061008	-0.71986	0.25461	0.78456	0.47161	1
Hif1a_p1	12	0.08027	0.81588	0.051974	0.43889	0.41457	1
Zfp825_p1	8	-0.075588	-0.85042	0.22456	0.72624	0.39509	1
Baz2a_p1	12	-0.059302	-0.73399	0.27281	0.80961	0.46295	1
Nr5a2_p1	12	-0.04572	-0.52106	0.40504	0.8662	0.60233	1
Eomes_p1	12	-0.0017115	-0.019428	0.90943	0.98621	0.9845	1
Elf3_p1	12	0.014475	0.11913	0.63158	0.93485	0.90517	1
Tox4_p1	12	-0.13316	-1.7208	0.021711	0.29444	0.085294	1
Esrrb_p3	12	-0.45495	-4.5123	0	0	6.4121e-06	0.00097464
Gm38394_p1	12	0.079815	1.105	0.053289	0.44132	0.26916	1
Nfe2l2_p1	12	-0.13062	-2.2068	0.022807	0.29444	0.027326	0.95853
Gm14401_p1	7	0.13354	0.74464	0.020614	0.28923	0.45649	1
Aire_p1	12	-0.056051	-0.81558	0.29364	0.80961	0.41474	1
Srebf2_p1	12	-0.091581	-0.94152	0.089693	0.56806	0.34644	1
Eed_p2	12	0.071638	1.6219	0.081798	0.55147	0.10482	1
Nfyc_p1	12	-0.11936	-1.142	0.032456	0.35238	0.25345	1
Zbtb17_p1	12	-0.018387	-0.22727	0.80154	0.97298	0.82021	1
Ubp1_p2	12	0.092789	1.3128	0.029167	0.34103	0.18927	1
Zfp866_p2	12	-0.068433	-1.3233	0.19825	0.69769	0.18572	1
Otx2_p1	12	0.061523	0.58841	0.13268	0.61792	0.55625	1
Rbpj_p1	12	0.023089	0.22959	0.50154	0.8938	0.81841	1
Nfatc3_p1	12	-0.043233	-0.54817	0.4386	0.87056	0.58358	1
Zkscan5_p2	12	-0.090088	-0.88205	0.094956	0.58121	0.37775	1
Zkscan17_p2	12	-0.033399	-0.44845	0.57281	0.92297	0.65383	1
Gm14322_p1	4	-0.029447	-0.17935	0.75285	0.9701	0.85766	1
Yy2_p1	12	-0.00564	-0.084292	0.97807	0.99208	0.93282	1
Tsc22d1_p4	12	-0.019905	-0.32928	0.77719	0.97296	0.74195	1
Nr5a2_p2	12	-0.027805	-0.27463	0.65548	0.94684	0.7836	1
Tfdp2_p3	12	0.060317	0.58049	0.13904	0.61792	0.56158	1
Zbtb7b_p1	12	0.065887	0.80505	0.11096	0.60343	0.42079	1
Hes6_p2	12	-0.046577	-0.53695	0.39496	0.8662	0.5913	1
Zfp942_p1	4	0.0028909	0.019444	0.90636	0.98621	0.98449	1
Ctcf_p1	12	0.10303	1.916	0.017544	0.26774	0.055367	1
Preb_p3	12	0.050521	0.6188	0.20307	0.70149	0.53605	1
Plscr1_p1	12	-0.00018871	-0.0027947	0.88487	0.98271	0.99777	1
E2f4_p1	12	0.060933	0.74202	0.13531	0.61792	0.45808	1
Tead2_p5	12	-0.04671	-0.46556	0.39342	0.8662	0.64153	1
Rex2_p1	4	0.058915	0.3482	0.38706	0.8662	0.72769	1
Thyn1_p1	12	0.05403	0.65288	0.17785	0.67866	0.51384	1
Zfp57_p4	12	0.0010772	0.011648	0.86075	0.98271	0.99071	1
Zfp934_p2	4	0.056908	0.38944	0.40307	0.8662	0.69695	1
Phb_p1	12	-0.0099653	-0.070419	0.94693	0.99208	0.94386	1
Zfp951_p1	4	-0.028242	-0.19138	0.76382	0.97296	0.84823	1
