gene	transcript	chromosome	strand	source	TSS	cluster	id
Gzf1	ENSMUST00000131292.1	chr2	+	HAVANA	148681211	p1	Gzf1_p1
Hbp1	ENSMUST00000172314.8	chr12	-	HAVANA	31950535	p1	Hbp1_p1
Hbp1	ENSMUST00000167458.8	chr12	-	HAVANA	31950223	p1	Hbp1_p1
Hbp1	ENSMUST00000175686.7	chr12	-	HAVANA	31949608	p2	Hbp1_p2
Hbp1	ENSMUST00000176520.7	chr12	-	HAVANA	31950170	p1	Hbp1_p1
Hbp1	ENSMUST00000176103.7	chr12	-	HAVANA	31950221	p1	Hbp1_p1
Hbp1	ENSMUST00000176084.1	chr12	-	HAVANA	31950210	p1	Hbp1_p1
Hbp1	ENSMUST00000175666.1	chr12	-	HAVANA	31950234	p1	Hbp1_p1
Hes1	ENSMUST00000160592.2	chr16	+	HAVANA	30064384	p1	Hes1_p1
Hes1	ENSMUST00000023171.7	chr16	+	HAVANA	30065340	p2	Hes1_p2
Hes6	ENSMUST00000132188.7	chr1	-	HAVANA	91413208	p1	Hes6_p1
Hes6	ENSMUST00000086851.1	chr1	-	HAVANA	91413222	p1	Hes6_p1
Hes6	ENSMUST00000126136.7	chr1	-	HAVANA	91413222	p1	Hes6_p1
Hes6	ENSMUST00000155752.1	chr1	-	HAVANA	91413208	p1	Hes6_p1
Hes6	ENSMUST00000150520.1	chr1	-	HAVANA	91414038	p2	Hes6_p2
Hesx1	ENSMUST00000224331.1	chr14	+	HAVANA	26994416	p1	Hesx1_p1
Hesx1	ENSMUST00000035433.9	chr14	+	HAVANA	27000362	p2	Hesx1_p2
Hic2	ENSMUST00000090190.13	chr16	+	HAVANA	17233572	p1	Hic2_p1
Hic2	ENSMUST00000232082.1	chr16	+	HAVANA	17233664	p1	Hic2_p1
Hif1a	ENSMUST00000110461.7	chr12	+	HAVANA	73901375	p1	Hif1a_p1
Hif1a	ENSMUST00000110464.7	chr12	+	HAVANA	73907904	p2	Hif1a_p2
Hif1a	ENSMUST00000021530.7	chr12	+	HAVANA	73907904	p2	Hif1a_p2
Hinfp	ENSMUST00000216508.1	chr9	-	HAVANA	44305671	p1	Hinfp_p1
Hinfp	ENSMUST00000034629.5	chr9	-	HAVANA	44305646	p1	Hinfp_p1
Hinfp	ENSMUST00000214660.1	chr9	-	HAVANA	44305646	p1	Hinfp_p1
Hinfp	ENSMUST00000217605.1	chr9	-	HAVANA	44305645	p1	Hinfp_p1
Hmg20b	ENSMUST00000105323.7	chr10	-	HAVANA	81350480	p1	Hmg20b_p1
Hmg20b	ENSMUST00000122993.7	chr10	-	HAVANA	81350191	p1	Hmg20b_p1
Hmg20b	ENSMUST00000132313.1	chr10	-	HAVANA	81350369	p1	Hmg20b_p1
Hmg20b	ENSMUST00000020454.10	chr10	-	HAVANA	81350424	p1	Hmg20b_p1
Hmg20b	ENSMUST00000105324.8	chr10	-	HAVANA	81350426	p1	Hmg20b_p1
Hmg20b	ENSMUST00000167481.7	chr10	-	ENSEMBL	81350327	p1	Hmg20b_p1
Hmg20b	ENSMUST00000154609.2	chr10	-	HAVANA	81350443	p1	Hmg20b_p1
Hmg20b	ENSMUST00000148839.7	chr10	-	HAVANA	81350319	p1	Hmg20b_p1
Hmg20b	ENSMUST00000129482.1	chr10	-	HAVANA	81350317	p1	Hmg20b_p1
Hmg20b	ENSMUST00000140160.1	chr10	-	HAVANA	81350444	p1	Hmg20b_p1
Hmga1	ENSMUST00000118599.8	chr17	+	HAVANA	27556497	p1	Hmga1_p1
Hmga1	ENSMUST00000232265.1	chr17	+	HAVANA	27556574	p1	Hmga1_p1
Hmga1	ENSMUST00000232013.1	chr17	+	HAVANA	27556582	p1	Hmga1_p1
Hmga1	ENSMUST00000114888.10	chr17	+	HAVANA	27556585	p1	Hmga1_p1
Hmga1	ENSMUST00000231874.1	chr17	+	HAVANA	27556604	p1	Hmga1_p1
Hmga1	ENSMUST00000119486.8	chr17	+	HAVANA	27556614	p1	Hmga1_p1
Hmga1	ENSMUST00000231825.1	chr17	+	HAVANA	27556615	p1	Hmga1_p1
Hmga1	ENSMUST00000231866.1	chr17	+	HAVANA	27556632	p1	Hmga1_p1
Hmga1	ENSMUST00000231780.1	chr17	+	HAVANA	27556639	p1	Hmga1_p1
Hmga1	ENSMUST00000232253.1	chr17	+	HAVANA	27556641	p1	Hmga1_p1
Hmga1	ENSMUST00000232552.1	chr17	+	HAVANA	27556641	p1	Hmga1_p1
Hmga1	ENSMUST00000117600.8	chr17	+	HAVANA	27556653	p1	Hmga1_p1
Hmga1	ENSMUST00000117254.8	chr17	+	HAVANA	27556663	p1	Hmga1_p1
Hmga1	ENSMUST00000231243.1	chr17	+	HAVANA	27556668	p1	Hmga1_p1
Hmga1	ENSMUST00000231358.1	chr17	+	HAVANA	27556668	p1	Hmga1_p1
Hmga1	ENSMUST00000118570.1	chr17	+	HAVANA	27556668	p1	Hmga1_p1
Hmga1	ENSMUST00000231796.1	chr17	+	HAVANA	27556695	p1	Hmga1_p1
Hmga2	ENSMUST00000072777.13	chr10	-	HAVANA	120476469	p1	Hmga2_p1
Hmga2	ENSMUST00000159699.1	chr10	-	HAVANA	120476469	p1	Hmga2_p1
Hmga2	ENSMUST00000159310.1	chr10	-	HAVANA	120476292	p1	Hmga2_p1
Hmgb1	ENSMUST00000085546.12	chr5	-	HAVANA	149053040	p1	Hmgb1_p1
Hmgb1	ENSMUST00000110505.7	chr5	-	HAVANA	149051300	p2	Hmgb1_p2
Hmgb1	ENSMUST00000093196.10	chr5	-	HAVANA	149051616	p2	Hmgb1_p2
Hmgb1	ENSMUST00000202133.3	chr5	-	HAVANA	149184489	p3	Hmgb1_p3
Hmgb1	ENSMUST00000139443.7	chr5	-	HAVANA	149053011	p1	Hmgb1_p1
Hmgb1	ENSMUST00000138553.7	chr5	-	HAVANA	149052377	p4	Hmgb1_p4
Hmgb1	ENSMUST00000133667.1	chr5	-	HAVANA	149053016	p1	Hmgb1_p1
Hmgb1	ENSMUST00000125605.1	chr5	-	HAVANA	149053513	p5	Hmgb1_p5
Hmgb1	ENSMUST00000123645.1	chr5	-	HAVANA	149052981	p1	Hmgb1_p1
Hmgb2	ENSMUST00000067925.7	chr8	+	HAVANA	57511907	p1	Hmgb2_p1
Hmgb2	ENSMUST00000210871.1	chr8	+	HAVANA	57511974	p1	Hmgb2_p1
Hmgb2	ENSMUST00000211198.1	chr8	+	HAVANA	57512548	p2	Hmgb2_p2
Hmgb3	ENSMUST00000072699.12	chrX	+	HAVANA	71555918	p1	Hmgb3_p1
Hmgb3	ENSMUST00000114582.8	chrX	+	HAVANA	71555928	p1	Hmgb3_p1
Hmgb3	ENSMUST00000015361.10	chrX	+	HAVANA	71555941	p1	Hmgb3_p1
Hmgb3	ENSMUST00000088874.9	chrX	+	HAVANA	71555990	p1	Hmgb3_p1
Hmgb3	ENSMUST00000123100.1	chrX	+	HAVANA	71556946	p2	Hmgb3_p2
Hmgb3	ENSMUST00000132145.1	chrX	+	HAVANA	71557783	p3	Hmgb3_p3
Hmgxb3	ENSMUST00000091884.5	chr18	-	HAVANA	61177050	p1	Hmgxb3_p1
Hmgxb3	ENSMUST00000235480.1	chr18	-	HAVANA	61176997	p1	Hmgxb3_p1
Hmgxb3	ENSMUST00000236068.1	chr18	-	HAVANA	61177033	p1	Hmgxb3_p1
Hmgxb3	ENSMUST00000237443.1	chr18	-	HAVANA	61177028	p1	Hmgxb3_p1
Hmgxb3	ENSMUST00000237498.1	chr18	-	HAVANA	61177028	p1	Hmgxb3_p1
Hmgxb4	ENSMUST00000041759.13	chr8	+	HAVANA	74993356	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000151062.7	chr8	+	HAVANA	74993679	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000145919.1	chr8	+	HAVANA	74993679	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000134126.1	chr8	+	HAVANA	74993691	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000211863.1	chr8	+	HAVANA	74993695	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000133585.1	chr8	+	HAVANA	74993712	p1	Hmgxb4_p1
Hmgxb4	ENSMUST00000109940.1	chr8	+	HAVANA	75016222	p2	Hmgxb4_p2
Hnrnpk	ENSMUST00000116403.8	chr13	-	HAVANA	58403343	p1	Hnrnpk_p1
Hnrnpk	ENSMUST00000224182.1	chr13	-	HAVANA	58402516	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000225674.1	chr13	-	HAVANA	58402141	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000177019.7	chr13	-	HAVANA	58402464	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000043269.13	chr13	-	HAVANA	58402502	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000176207.7	chr13	-	HAVANA	58402649	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000176849.7	chr13	-	HAVANA	58402142	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000176305.7	chr13	-	HAVANA	58402103	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000225176.1	chr13	-	HAVANA	58401914	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000225031.1	chr13	-	HAVANA	58402115	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000175847.7	chr13	-	HAVANA	58402487	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000177060.7	chr13	-	HAVANA	58402507	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000224524.1	chr13	-	HAVANA	58401265	p4	Hnrnpk_p4
Hnrnpk	ENSMUST00000224342.1	chr13	-	HAVANA	58401570	p4	Hnrnpk_p4
Hnrnpk	ENSMUST00000224836.1	chr13	-	HAVANA	58402485	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000224030.1	chr13	-	HAVANA	58401393	p4	Hnrnpk_p4
Hnrnpk	ENSMUST00000177377.7	chr13	-	HAVANA	58402110	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000176558.1	chr13	-	HAVANA	58402116	p3	Hnrnpk_p3
Hnrnpk	ENSMUST00000175939.1	chr13	-	HAVANA	58402502	p2	Hnrnpk_p2
Hnrnpk	ENSMUST00000223822.1	chr13	-	HAVANA	58402055	p3	Hnrnpk_p3
Hnrnpu	ENSMUST00000161769.7	chr1	-	HAVANA	178337728	p1	Hnrnpu_p1
Hnrnpu	ENSMUST00000037748.8	chr1	-	HAVANA	178337797	p1	Hnrnpu_p1
Hnrnpu	ENSMUST00000134291.1	chr1	-	HAVANA	178336405	p2	Hnrnpu_p2
Hopx	ENSMUST00000120827.8	chr5	-	HAVANA	77095253	p1	Hopx_p1
Hopx	ENSMUST00000113453.8	chr5	-	HAVANA	77095277	p1	Hopx_p1
Hopx	ENSMUST00000081964.6	chr5	-	HAVANA	77115121	p2	Hopx_p2
Hsf1	ENSMUST00000228868.1	chr15	+	HAVANA	76477422	p1	Hsf1_p1
Hsf1	ENSMUST00000228757.1	chr15	+	HAVANA	76477422	p1	Hsf1_p1
Hsf1	ENSMUST00000226872.1	chr15	+	HAVANA	76477435	p1	Hsf1_p1
Hsf1	ENSMUST00000072838.5	chr15	+	HAVANA	76477445	p1	Hsf1_p1
Hsf1	ENSMUST00000227478.1	chr15	+	HAVANA	76477445	p1	Hsf1_p1
Hsf1	ENSMUST00000228371.1	chr15	+	HAVANA	76477445	p1	Hsf1_p1
Hsf1	ENSMUST00000228388.1	chr15	+	HAVANA	76477449	p1	Hsf1_p1
Hsf1	ENSMUST00000226860.1	chr15	+	HAVANA	76477455	p1	Hsf1_p1
Hsf1	ENSMUST00000230069.1	chr15	+	HAVANA	76477461	p1	Hsf1_p1
Hsf1	ENSMUST00000229363.1	chr15	+	HAVANA	76477574	p1	Hsf1_p1
Hsf1	ENSMUST00000227921.1	chr15	+	HAVANA	76477686	p1	Hsf1_p1
Hsf2	ENSMUST00000220353.1	chr10	+	HAVANA	57486385	p1	Hsf2_p1
Hsf2	ENSMUST00000079833.5	chr10	+	HAVANA	57486396	p1	Hsf2_p1
Hsf2	ENSMUST00000220042.1	chr10	+	HAVANA	57486425	p1	Hsf2_p1
Id1	ENSMUST00000038368.8	chr2	+	HAVANA	152736251	p1	Id1_p1
Id1	ENSMUST00000109824.1	chr2	+	HAVANA	152736251	p1	Id1_p1
Id2	ENSMUST00000221761.1	chr12	-	HAVANA	25097140	p1	Id2_p1
Id2	ENSMUST00000020974.6	chr12	-	ENSEMBL	25096092	p2	Id2_p2
Id2	ENSMUST00000222667.1	chr12	-	HAVANA	25096087	p2	Id2_p2
Id3	ENSMUST00000008016.2	chr4	+	HAVANA	136143497	p1	Id3_p1
Id3	ENSMUST00000151001.1	chr4	+	HAVANA	136143864	p1	Id3_p1
Irf1	ENSMUST00000108920.8	chr11	+	HAVANA	53770014	p1	Irf1_p1
Irf1	ENSMUST00000140866.7	chr11	+	HAVANA	53770048	p1	Irf1_p1
Irf1	ENSMUST00000108922.7	chr11	+	HAVANA	53770051	p1	Irf1_p1
Irf1	ENSMUST00000128336.7	chr11	+	HAVANA	53770071	p1	Irf1_p1
Irf1	ENSMUST00000142221.7	chr11	+	HAVANA	53770105	p1	Irf1_p1
Irf1	ENSMUST00000138913.7	chr11	+	HAVANA	53770477	p1	Irf1_p1
Irf1	ENSMUST00000123376.7	chr11	+	HAVANA	53770487	p1	Irf1_p1
Irf1	ENSMUST00000019043.12	chr11	+	HAVANA	53770495	p1	Irf1_p1
Irf1	ENSMUST00000133291.2	chr11	+	HAVANA	53770509	p1	Irf1_p1
Irf3	ENSMUST00000003284.15	chr7	+	HAVANA	44997648	p1	Irf3_p1
Irf3	ENSMUST00000209066.1	chr7	+	HAVANA	44997666	p1	Irf3_p1
Irf3	ENSMUST00000207476.1	chr7	+	HAVANA	44997680	p1	Irf3_p1
Irf3	ENSMUST00000209006.1	chr7	+	HAVANA	44997687	p1	Irf3_p1
Irf3	ENSMUST00000207555.1	chr7	+	HAVANA	44997689	p1	Irf3_p1
Irf3	ENSMUST00000107834.1	chr7	+	HAVANA	44997949	p1	Irf3_p1
Irf3	ENSMUST00000207521.1	chr7	+	HAVANA	44998326	p2	Irf3_p2
Irf6	ENSMUST00000076521.6	chr1	+	HAVANA	193153111	p1	Irf6_p1
Irf6	ENSMUST00000138826.7	chr1	+	HAVANA	193153154	p1	Irf6_p1
Jarid2	ENSMUST00000174394.1	chr13	+	HAVANA	44729474	p1	Jarid2_p1
Jarid2	ENSMUST00000174068.7	chr13	+	HAVANA	44729535	p1	Jarid2_p1
Jarid2	ENSMUST00000172830.7	chr13	+	HAVANA	44729795	p1	Jarid2_p1
Jarid2	ENSMUST00000173704.7	chr13	+	HAVANA	44730774	p2	Jarid2_p2
Jarid2	ENSMUST00000044608.13	chr13	+	HAVANA	44730823	p2	Jarid2_p2
Jarid2	ENSMUST00000173367.7	chr13	+	HAVANA	44730838	p2	Jarid2_p2
Jarid2	ENSMUST00000172708.7	chr13	+	HAVANA	44730859	p2	Jarid2_p2
Jarid2	ENSMUST00000173246.7	chr13	+	HAVANA	44731271	p3	Jarid2_p3
Jarid2	ENSMUST00000174086.1	chr13	+	HAVANA	44731287	p3	Jarid2_p3
Jarid2	ENSMUST00000174557.7	chr13	+	HAVANA	44731368	p3	Jarid2_p3
Jarid2	ENSMUST00000174683.7	chr13	+	HAVANA	44731370	p3	Jarid2_p3
Jarid2	ENSMUST00000172977.7	chr13	+	HAVANA	44731598	p3	Jarid2_p3
Jdp2	ENSMUST00000177587.8	chr12	+	HAVANA	85599027	p1	Jdp2_p1
Jdp2	ENSMUST00000050687.13	chr12	+	HAVANA	85599416	p1	Jdp2_p1
Jdp2	ENSMUST00000171754.2	chr12	+	HAVANA	85600018	p2	Jdp2_p2
Jpx	ENSMUST00000234690.1	chrX	+	HAVANA	103493556	p1	Jpx_p1
Jpx	ENSMUST00000181020.8	chrX	+	HAVANA	103493558	p1	Jpx_p1
Jpx	ENSMUST00000235041.1	chrX	+	HAVANA	103493564	p1	Jpx_p1
Jpx	ENSMUST00000234244.1	chrX	+	HAVANA	103493564	p1	Jpx_p1
Jpx	ENSMUST00000234173.1	chrX	+	HAVANA	103493576	p1	Jpx_p1
Jpx	ENSMUST00000183027.1	chrX	+	HAVANA	103493577	p1	Jpx_p1
Jpx	ENSMUST00000234815.1	chrX	+	HAVANA	103493581	p1	Jpx_p1
Jpx	ENSMUST00000234103.1	chrX	+	HAVANA	103493719	p1	Jpx_p1
Jpx	ENSMUST00000182447.1	chrX	+	HAVANA	103493770	p1	Jpx_p1
Jpx	ENSMUST00000182486.1	chrX	+	HAVANA	103493795	p1	Jpx_p1
Kansl1	ENSMUST00000106977.7	chr11	-	ENSEMBL	104442291	p1	Kansl1_p1
Kansl1	ENSMUST00000106972.7	chr11	-	HAVANA	104442291	p1	Kansl1_p1
Kansl1	ENSMUST00000018556.10	chr11	-	HAVANA	104468861	p2	Kansl1_p2
Kansl1	ENSMUST00000106971.1	chr11	-	HAVANA	104441702	p3	Kansl1_p3
Kansl1	ENSMUST00000134266.1	chr11	-	HAVANA	104467991	p4	Kansl1_p4
Kansl3	ENSMUST00000185912.6	chr1	-	HAVANA	36369157	p1	Kansl3_p1
Kansl3	ENSMUST00000010597.9	chr1	-	HAVANA	36369181	p1	Kansl3_p1
Kansl3	ENSMUST00000186470.1	chr1	-	HAVANA	36368014	p2	Kansl3_p2
Kansl3	ENSMUST00000188961.6	chr1	-	HAVANA	36369171	p1	Kansl3_p1
Kansl3	ENSMUST00000188528.6	chr1	-	HAVANA	36368041	p2	Kansl3_p2
Kansl3	ENSMUST00000185621.2	chr1	-	HAVANA	36369155	p1	Kansl3_p1
Kansl3	ENSMUST00000187628.1	chr1	-	HAVANA	36368041	p2	Kansl3_p2
Kansl3	ENSMUST00000185614.1	chr1	-	HAVANA	36369157	p1	Kansl3_p1
Kansl3	ENSMUST00000188957.1	chr1	-	HAVANA	36369102	p1	Kansl3_p1
Kat8	ENSMUST00000206071.1	chr7	+	HAVANA	127912516	p1	Kat8_p1
Kat8	ENSMUST00000033070.8	chr7	+	HAVANA	127912516	p1	Kat8_p1
Khsrp	ENSMUST00000007814.9	chr17	-	HAVANA	57031488	p1	Khsrp_p1
Khsrp	ENSMUST00000233480.1	chr17	-	HAVANA	57031522	p1	Khsrp_p1
Klf10	ENSMUST00000227920.1	chr15	-	HAVANA	38300706	p1	Klf10_p1
Klf10	ENSMUST00000074043.6	chr15	-	HAVANA	38300706	p1	Klf10_p1
Klf10	ENSMUST00000226363.1	chr15	-	HAVANA	38299082	p2	Klf10_p2
Klf10	ENSMUST00000228732.1	chr15	-	HAVANA	38298839	p2	Klf10_p2
Klf10	ENSMUST00000228772.1	chr15	-	HAVANA	38299795	p3	Klf10_p3
Klf10	ENSMUST00000228416.1	chr15	-	HAVANA	38300706	p1	Klf10_p1
Klf11	ENSMUST00000020982.6	chr12	+	HAVANA	24651274	p1	Klf11_p1
Klf11	ENSMUST00000139940.1	chr12	+	HAVANA	24651896	p2	Klf11_p2
Klf11	ENSMUST00000146894.7	chr12	+	HAVANA	24651896	p2	Klf11_p2
Klf11	ENSMUST00000144046.1	chr12	+	HAVANA	24652154	p2	Klf11_p2
Klf13	ENSMUST00000063694.9	chr7	-	HAVANA	63938915	p1	Klf13_p1
Klf13	ENSMUST00000183907.1	chr7	-	HAVANA	63936332	p2	Klf13_p2
Klf15	ENSMUST00000032174.11	chr6	+	HAVANA	90462576	p1	Klf15_p1
Klf15	ENSMUST00000203039.2	chr6	+	HAVANA	90462674	p1	Klf15_p1
Klf4	ENSMUST00000107619.2	chr4	-	HAVANA	55532466	p1	Klf4_p1
Klf4	ENSMUST00000129250.1	chr4	-	HAVANA	55531770	p2	Klf4_p2
Klf4	ENSMUST00000132746.1	chr4	-	HAVANA	55532453	p1	Klf4_p1
Klf5	ENSMUST00000005279.7	chr14	+	HAVANA	99298691	p1	Klf5_p1
Klf5	ENSMUST00000226784.1	chr14	+	HAVANA	99299154	p1	Klf5_p1
Klf6	ENSMUST00000000080.7	chr13	+	HAVANA	5861482	p1	Klf6_p1
Klf6	ENSMUST00000222857.1	chr13	+	HAVANA	5861541	p1	Klf6_p1
Klf8	ENSMUST00000143880.1	chrX	+	HAVANA	153237466	p1	Klf8_p1
Klf8	ENSMUST00000112574.8	chrX	+	HAVANA	153237748	p1	Klf8_p1
Klf8	ENSMUST00000039545.4	chrX	+	HAVANA	153359613	p2	Klf8_p2
Kmt2c	ENSMUST00000045291.13	chr5	-	HAVANA	25498745	p1	Kmt2c_p1
Kmt2c	ENSMUST00000173073.7	chr5	-	HAVANA	25498702	p1	Kmt2c_p1
Kmt2c	ENSMUST00000173174.1	chr5	-	HAVANA	25498755	p1	Kmt2c_p1
Kmt2c	ENSMUST00000172626.1	chr5	-	HAVANA	25498783	p1	Kmt2c_p1
Lbr	ENSMUST00000005003.11	chr1	-	HAVANA	181842379	p1	Lbr_p1
Lbr	ENSMUST00000193030.5	chr1	-	HAVANA	181843046	p2	Lbr_p2
Lbr	ENSMUST00000191878.5	chr1	-	HAVANA	181842361	p1	Lbr_p1
Lbr	ENSMUST00000195299.5	chr1	-	HAVANA	181842859	p2	Lbr_p2
Lbr	ENSMUST00000193028.1	chr1	-	HAVANA	181842326	p1	Lbr_p1
Lcor	ENSMUST00000067795.12	chr19	+	HAVANA	41482637	p1	Lcor_p1
Lcor	ENSMUST00000237208.1	chr19	+	HAVANA	41483029	p1	Lcor_p1
Lcor	ENSMUST00000238398.1	chr19	+	HAVANA	41483029	p1	Lcor_p1
Lef1	ENSMUST00000029611.13	chr3	+	HAVANA	131110471	p1	Lef1_p1
Lef1	ENSMUST00000106341.8	chr3	+	HAVANA	131110471	p1	Lef1_p1
Lef1	ENSMUST00000066849.12	chr3	+	HAVANA	131110471	p1	Lef1_p1
Lin28a	ENSMUST00000051674.2	chr4	-	HAVANA	134018841	p1	Lin28a_p1
Lin28a	ENSMUST00000176897.1	chr4	-	HAVANA	134018382	p1	Lin28a_p1
Lin28b	ENSMUST00000079390.6	chr10	-	HAVANA	45470201	p1	Lin28b_p1
Lin28b	ENSMUST00000215708.1	chr10	-	HAVANA	45486395	p2	Lin28b_p2
Lin28b	ENSMUST00000214555.1	chr10	-	HAVANA	45485777	p3	Lin28b_p3
Litaf	ENSMUST00000023143.13	chr16	-	HAVANA	10993121	p1	Litaf_p1
Litaf	ENSMUST00000162323.1	chr16	-	HAVANA	11066157	p2	Litaf_p2
Litaf	ENSMUST00000140170.1	chr16	-	HAVANA	10993071	p1	Litaf_p1
Litaf	ENSMUST00000230709.1	chr16	-	HAVANA	11066122	p2	Litaf_p2
Lrrfip1	ENSMUST00000189505.6	chr1	+	HAVANA	90998737	p1	Lrrfip1_p1
Lrrfip1	ENSMUST00000185531.6	chr1	+	HAVANA	90998777	p1	Lrrfip1_p1
Lrrfip1	ENSMUST00000068116.12	chr1	+	HAVANA	90998779	p1	Lrrfip1_p1
Lrrfip1	ENSMUST00000068167.12	chr1	+	ENSEMBL	91053444	p2	Lrrfip1_p2
Lrrfip1	ENSMUST00000097649.9	chr1	+	HAVANA	91053454	p2	Lrrfip1_p2
Lrrfip1	ENSMUST00000186762.6	chr1	+	HAVANA	91053507	p2	Lrrfip1_p2
Lrrfip1	ENSMUST00000097650.9	chr1	+	HAVANA	91053507	p2	Lrrfip1_p2
Lrrfip1	ENSMUST00000189617.2	chr1	+	HAVANA	91053586	p2	Lrrfip1_p2
Lrrfip2	ENSMUST00000200094.4	chr9	+	HAVANA	111117592	p1	Lrrfip2_p1
Lrrfip2	ENSMUST00000035078.12	chr9	+	ENSEMBL	111118111	p2	Lrrfip2_p2
Lrrfip2	ENSMUST00000196981.4	chr9	+	HAVANA	111118113	p2	Lrrfip2_p2
Lrrfip2	ENSMUST00000098340.6	chr9	+	HAVANA	111118135	p2	Lrrfip2_p2
Lrrfip2	ENSMUST00000197256.4	chr9	+	HAVANA	111118445	p2	Lrrfip2_p2
Lyar	ENSMUST00000087514.8	chr5	+	HAVANA	38220470	p1	Lyar_p1
Lyar	ENSMUST00000130721.7	chr5	+	HAVANA	38220482	p1	Lyar_p1
Lyar	ENSMUST00000123207.7	chr5	+	HAVANA	38220520	p1	Lyar_p1
Lyar	ENSMUST00000132190.7	chr5	+	HAVANA	38220527	p1	Lyar_p1
Lyar	ENSMUST00000202506.1	chr5	+	HAVANA	38220528	p1	Lyar_p1
Lyar	ENSMUST00000154975.7	chr5	+	HAVANA	38220529	p1	Lyar_p1
Lyar	ENSMUST00000152066.7	chr5	+	HAVANA	38220550	p1	Lyar_p1
Lyar	ENSMUST00000155300.7	chr5	+	HAVANA	38220554	p1	Lyar_p1
Mael	ENSMUST00000194057.5	chr1	-	HAVANA	166238747	p1	Mael_p1
Mael	ENSMUST00000038782.3	chr1	-	HAVANA	166238744	p1	Mael_p1
Maf1	ENSMUST00000161527.7	chr15	+	HAVANA	76351294	p1	Maf1_p1
Maf1	ENSMUST00000160853.7	chr15	+	HAVANA	76351294	p1	Maf1_p1
Maf1	ENSMUST00000023212.14	chr15	+	HAVANA	76351306	p1	Maf1_p1
Maf1	ENSMUST00000162871.1	chr15	+	HAVANA	76351309	p1	Maf1_p1
Maf1	ENSMUST00000160857.7	chr15	+	HAVANA	76351327	p1	Maf1_p1
Maf1	ENSMUST00000160172.7	chr15	+	HAVANA	76351327	p1	Maf1_p1
Maf1	ENSMUST00000160097.1	chr15	+	HAVANA	76351353	p1	Maf1_p1
Maf1	ENSMUST00000161786.1	chr15	+	HAVANA	76351409	p1	Maf1_p1
Maff	ENSMUST00000229130.1	chr15	+	HAVANA	79346621	p1	Maff_p1
Maff	ENSMUST00000096350.10	chr15	+	HAVANA	79347520	p2	Maff_p2
Maff	ENSMUST00000163691.2	chr15	+	HAVANA	79348064	p3	Maff_p3
Maff	ENSMUST00000229285.1	chr15	+	HAVANA	79348402	p3	Maff_p3
Mafg	ENSMUST00000058162.13	chr11	-	HAVANA	120633600	p1	Mafg_p1
Mafg	ENSMUST00000128498.1	chr11	-	HAVANA	120633556	p1	Mafg_p1
Mafk	ENSMUST00000018287.9	chr5	+	HAVANA	139791513	p1	Mafk_p1
Mafk	ENSMUST00000151577.1	chr5	+	HAVANA	139791534	p1	Mafk_p1
Max	ENSMUST00000110395.10	chr12	-	HAVANA	76962185	p1	Max_p1
Max	ENSMUST00000082136.6	chr12	-	HAVANA	76962201	p1	Max_p1
Max	ENSMUST00000218640.1	chr12	-	HAVANA	76962025	p1	Max_p1
Max	ENSMUST00000218597.1	chr12	-	HAVANA	76961921	p1	Max_p1
Maz	ENSMUST00000205568.1	chr7	-	HAVANA	127026526	p1	Maz_p1
Maz	ENSMUST00000032916.5	chr7	-	HAVANA	127026452	p1	Maz_p1
Maz	ENSMUST00000205461.1	chr7	-	HAVANA	127026572	p1	Maz_p1
Mbd1	ENSMUST00000224907.1	chr18	+	HAVANA	74267605	p1	Mbd1_p1
Mbd1	ENSMUST00000239157.1	chr18	+	HAVANA	74268175	p2	Mbd1_p2
Mbd1	ENSMUST00000097530.4	chr18	+	HAVANA	74268175	p2	Mbd1_p2
Mbd1	ENSMUST00000224159.1	chr18	+	HAVANA	74268290	p2	Mbd1_p2
Mbd1	ENSMUST00000224047.1	chr18	+	HAVANA	74268291	p2	Mbd1_p2
Mbd2	ENSMUST00000074058.10	chr18	+	HAVANA	70568189	p1	Mbd2_p1
Mbd2	ENSMUST00000114946.3	chr18	+	HAVANA	70568334	p1	Mbd2_p1
Mbd3	ENSMUST00000092295.9	chr10	-	HAVANA	80399550	p1	Mbd3_p1
Mbd3	ENSMUST00000105349.7	chr10	-	HAVANA	80399550	p1	Mbd3_p1
